Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2021-04-02,New York Yankees,Toronto Blue Jays,2,3,A,1.53,2.61,2021
2021-04-02,Detroit Tigers,Cleveland Guardians,3,2,H,2.60,1.56,2021
2021-04-02,Milwaukee Brewers,Minnesota Twins,6,5,H,1.89,1.98,2021
2021-04-02,Chicago Cubs,Pittsburgh Pirates,3,5,A,1.47,2.83,2021
2021-04-02,Philadelphia Phillies,Atlanta Braves,3,2,H,1.78,2.12,2021
2021-04-02,San Diego Padres,Arizona Diamondbacks,8,7,H,1.41,3.09,2021
2021-04-02,Miami Marlins,Tampa Bay Rays,0,1,A,2.34,1.65,2021
2021-04-02,Kansas City Royals,Texas Rangers,14,10,H,1.63,2.39,2021
2021-04-02,Colorado Rockies,Los Angeles Dodgers,8,5,H,2.89,1.45,2021
2021-04-02,Cincinnati Reds,St.Louis Cardinals,6,11,A,1.78,2.12,2021
2021-04-02,Los Angeles Angels,Chicago White Sox,4,3,H,2.05,1.83,2021
2021-04-02,Athletics,Houston Astros,1,8,A,1.92,1.94,2021
2021-04-02,Seattle Mariners,San Francisco Giants,8,7,H,2.06,1.82,2021
2021-04-03,Boston Red Sox,Baltimore Orioles,0,3,A,1.56,2.56,2021
2021-04-03,Miami Marlins,Tampa Bay Rays,4,6,A,1.91,1.96,2021
2021-04-03,Colorado Rockies,Los Angeles Dodgers,6,11,A,3.19,1.39,2021
2021-04-03,Los Angeles Angels,Chicago White Sox,8,12,A,1.84,2.04,2021
2021-04-03,Athletics,Houston Astros,5,9,A,1.78,2.12,2021
2021-04-03,Seattle Mariners,San Francisco Giants,3,6,A,1.84,2.05,2021
2021-04-03,San Diego Padres,Arizona Diamondbacks,4,2,H,1.45,2.90,2021
2021-04-04,New York Yankees,Toronto Blue Jays,5,3,H,1.60,2.46,2021
2021-04-04,Detroit Tigers,Cleveland Guardians,5,2,H,2.41,1.62,2021
2021-04-04,Boston Red Sox,Baltimore Orioles,2,4,A,1.58,2.47,2021
2021-04-04,Kansas City Royals,Texas Rangers,11,4,H,1.60,2.45,2021
2021-04-04,Chicago Cubs,Pittsburgh Pirates,5,1,H,1.61,2.45,2021
2021-04-04,Philadelphia Phillies,Atlanta Braves,4,0,H,1.99,1.87,2021
2021-04-04,Athletics,Houston Astros,1,9,A,2.17,1.75,2021
2021-04-04,Cincinnati Reds,St.Louis Cardinals,9,6,H,1.83,2.06,2021
2021-04-04,Miami Marlins,Tampa Bay Rays,12,7,H,1.94,1.93,2021
2021-04-04,Milwaukee Brewers,Minnesota Twins,0,2,A,1.74,2.18,2021
2021-04-04,Colorado Rockies,Los Angeles Dodgers,5,6,A,2.95,1.44,2021
2021-04-04,San Diego Padres,Arizona Diamondbacks,7,0,H,1.47,2.83,2021
2021-04-04,Los Angeles Angels,Chicago White Sox,5,3,H,2.03,1.84,2021
2021-04-04,Seattle Mariners,San Francisco Giants,4,0,H,2.04,1.84,2021
