Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2018-03-30,Miami Marlins,Chicago Cubs,4,8,A,2.81,1.47,2018
2018-03-30,New York Mets,St.Louis Cardinals,9,4,H,1.71,2.23,2018
2018-03-30,Baltimore Orioles,Minnesota Twins,3,2,H,1.78,2.11,2018
2018-03-30,Texas Rangers,Houston Astros,1,4,A,2.42,1.62,2018
2018-03-30,Toronto Blue Jays,New York Yankees,1,6,A,2.48,1.59,2018
2018-03-30,Tampa Bay Rays,Boston Red Sox,6,4,H,2.51,1.58,2018
2018-03-30,Athletics,Los Angeles Angels,6,5,H,2.02,1.84,2018
2018-03-30,San Diego Padres,Milwaukee Brewers,1,2,A,2.06,1.81,2018
2018-03-30,Atlanta Braves,Philadelphia Phillies,8,5,H,2.08,1.80,2018
2018-03-30,Kansas City Royals,Chicago White Sox,7,14,A,1.77,2.12,2018
2018-03-30,Los Angeles Dodgers,San Francisco Giants,0,1,A,1.32,3.56,2018
2018-03-30,Seattle Mariners,Cleveland Guardians,2,1,H,2.58,1.55,2018
2018-03-30,Arizona Diamondbacks,Colorado Rockies,8,2,H,1.87,2.01,2018
2018-03-31,Detroit Tigers,Pittsburgh Pirates,10,13,A,2.11,1.77,2018
2018-03-31,Cincinnati Reds,Washington Nationals,0,2,A,2.77,1.48,2018
2018-03-31,Toronto Blue Jays,New York Yankees,2,4,A,2.26,1.69,2018
2018-03-31,Tampa Bay Rays,Boston Red Sox,0,1,A,2.29,1.68,2018
2018-03-31,Miami Marlins,Chicago Cubs,2,1,H,2.75,1.48,2018
2018-03-31,Atlanta Braves,Philadelphia Phillies,4,5,A,1.93,1.92,2018
2018-03-31,Texas Rangers,Houston Astros,5,1,H,2.55,1.57,2018
2018-03-31,Arizona Diamondbacks,Colorado Rockies,9,8,H,1.69,2.26,2018
2018-03-31,Athletics,Los Angeles Angels,1,2,A,1.92,1.92,2018
2018-03-31,San Diego Padres,Milwaukee Brewers,6,8,A,2.00,1.87,2018
2018-03-31,Los Angeles Dodgers,San Francisco Giants,0,1,A,1.61,2.45,2018
2018-04-01,New York Mets,St.Louis Cardinals,6,2,H,1.81,2.06,2018
2018-04-01,Cincinnati Reds,Washington Nationals,7,13,A,2.29,1.67,2018
2018-04-01,Texas Rangers,Houston Astros,3,9,A,2.73,1.49,2018
2018-04-01,Athletics,Los Angeles Angels,3,8,A,1.95,1.90,2018
2018-04-01,Toronto Blue Jays,New York Yankees,5,3,H,1.94,1.91,2018
2018-04-01,Seattle Mariners,Cleveland Guardians,5,6,A,1.93,1.92,2018
2018-04-01,Tampa Bay Rays,Boston Red Sox,2,3,A,2.03,1.86,2018
2018-04-01,Baltimore Orioles,Minnesota Twins,2,6,A,2.03,1.83,2018
