Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2,Season
2020-09-12,Fulham,Arsenal,0,3,A,5.35,3.97,1.66,2020
2020-09-12,Crystal Palace,Southampton,1,0,H,3.07,3.24,2.45,2020
2020-09-13,Liverpool,Leeds,4,3,H,1.27,6.11,10.94,2020
2020-09-13,West Ham,Newcastle,0,2,A,2.0,3.57,3.8,2020
2020-09-13,West Brom,Leicester,0,3,A,3.34,3.34,2.26,2020
2020-09-14,Tottenham,Everton,0,1,A,2.06,3.42,3.79,2020
2020-09-15,Sheffield Utd,Wolves,0,2,A,3.29,2.89,2.56,2020
2020-09-15,Brighton,Chelsea,1,3,A,5.99,4.42,1.54,2020
2020-09-19,Everton,West Brom,5,2,H,1.57,4.06,6.26,2020
2020-09-19,Leeds,Fulham,4,3,H,1.71,3.83,5.11,2020
2020-09-20,Manchester Utd,Crystal Palace,1,3,A,1.36,5.1,8.89,2020
2020-09-20,Arsenal,West Ham,2,1,H,1.49,4.49,6.71,2020
2020-09-20,Southampton,Tottenham,2,5,A,3.38,3.41,2.22,2020
2020-09-20,Newcastle,Brighton,0,3,A,2.59,3.2,2.91,2020
2020-09-21,Chelsea,Liverpool,0,2,A,3.43,3.86,2.04,2020
2020-09-21,Leicester,Burnley,4,2,H,1.54,4.24,6.41,2020
2020-09-22,Aston Villa,Sheffield Utd,1,0,H,2.46,3.17,3.16,2020
2020-09-22,Wolves,Manchester City,1,3,A,6.93,4.6,1.47,2020
2020-09-26,Brighton,Manchester Utd,2,3,A,5.35,4.17,1.63,2020
2020-09-26,Crystal Palace,Everton,1,2,A,3.55,3.35,2.18,2020
2020-09-27,West Brom,Chelsea,3,3,D,6.83,4.79,1.45,2020
2020-09-27,Burnley,Southampton,0,1,A,3.27,3.41,2.27,2020
2020-09-27,Sheffield Utd,Leeds,0,1,A,2.94,3.4,2.48,2020
2020-09-27,Tottenham,Newcastle,1,1,D,1.42,4.86,7.77,2020
2020-09-28,Manchester City,Leicester,2,5,A,1.31,5.84,9.22,2020
2020-09-28,West Ham,Wolves,4,0,H,3.33,3.31,2.28,2020
2020-09-29,Fulham,Aston Villa,0,3,A,3.06,3.39,2.39,2020
2020-09-29,Liverpool,Arsenal,3,1,H,1.48,5.1,5.84,2020
2020-10-03,Chelsea,Crystal Palace,4,0,H,1.52,4.35,6.56,2020
2020-10-03,Everton,Brighton,4,2,H,1.78,3.77,4.73,2020
2020-10-04,Leeds,Manchester City,1,1,D,8.37,6.78,1.29,2020
2020-10-04,Newcastle,Burnley,3,1,H,2.4,3.27,3.16,2020
2020-10-04,Southampton,West Brom,2,0,H,1.87,3.78,4.17,2020
2020-10-04,Leicester,West Ham,0,3,A,1.81,4.0,4.24,2020
2020-10-04,Wolves,Fulham,1,0,H,1.78,3.52,5.24,2020
2020-10-04,Arsenal,Sheffield Utd,2,1,H,1.5,4.33,7.09,2020
2020-10-05,Manchester Utd,Tottenham,1,6,A,2.06,3.65,3.56,2020
2020-10-05,Aston Villa,Liverpool,7,2,H,6.72,4.88,1.45,2020
2020-10-17,Everton,Liverpool,2,2,D,4.24,4.21,1.78,2020
