Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2,Season
2023-08-12,Burnley,Manchester City,0,3,A,9.19,5.48,1.33,2023
2023-08-12,Arsenal,Nottingham,2,1,H,1.18,7.81,16.27,2023
2023-08-12,Sheffield Utd,Crystal Palace,0,1,A,3.78,3.18,2.19,2023
2023-08-12,Everton,Fulham,0,1,A,2.28,3.33,3.35,2023
2023-08-12,Brighton,Luton,4,1,H,1.29,6.0,10.25,2023
2023-08-12,Bournemouth,West Ham,1,1,D,2.72,3.52,2.61,2023
2023-08-13,Newcastle,Aston Villa,5,1,H,1.66,4.14,5.16,2023
2023-08-13,Brentford,Tottenham,2,2,D,2.64,3.54,2.67,2023
2023-08-14,Chelsea,Liverpool,1,1,D,3.06,3.74,2.26,2023
2023-08-15,Manchester Utd,Wolves,1,0,H,1.27,6.23,10.88,2023
2023-08-19,Nottingham,Sheffield Utd,2,1,H,1.96,3.43,4.25,2023
2023-08-19,Wolves,Brighton,1,4,A,4.25,4.05,1.79,2023
2023-08-19,Liverpool,Bournemouth,3,1,H,1.2,7.58,13.29,2023
2023-08-19,Fulham,Brentford,0,3,A,2.87,3.21,2.65,2023
2023-08-20,Tottenham,Manchester Utd,2,0,H,3.1,3.76,2.18,2023
2023-08-20,Manchester City,Newcastle,1,0,H,1.84,3.79,4.32,2023
2023-08-20,Aston Villa,Everton,4,0,H,1.85,3.8,4.24,2023
2023-08-21,West Ham,Chelsea,3,1,H,3.44,3.61,2.14,2023
2023-08-22,Crystal Palace,Arsenal,0,1,A,4.6,3.56,1.87,2023
2023-08-26,Chelsea,Luton,3,0,H,1.26,6.16,12.04,2023
2023-08-26,Bournemouth,Tottenham,0,2,A,3.54,3.86,2.02,2023
2023-08-26,Manchester Utd,Nottingham,3,2,H,1.36,5.23,8.26,2023
2023-08-26,Everton,Wolves,0,1,A,2.44,3.34,3.06,2023
2023-08-26,Brentford,Crystal Palace,1,1,D,2.15,3.35,3.69,2023
2023-08-26,Arsenal,Fulham,2,2,D,1.28,5.99,10.66,2023
2023-08-27,Brighton,West Ham,1,3,A,1.51,4.81,5.87,2023
2023-08-27,Sheffield Utd,Manchester City,1,2,A,14.36,7.15,1.21,2023
2023-08-27,Burnley,Aston Villa,1,3,A,3.23,3.54,2.25,2023
2023-08-28,Newcastle,Liverpool,1,2,A,2.23,3.8,3.03,2023
2023-09-02,Luton,West Ham,1,2,A,4.69,4.07,1.73,2023
2023-09-02,Sheffield Utd,Everton,2,2,D,3.18,3.36,2.36,2023
2023-09-02,Manchester City,Fulham,5,1,H,1.18,7.83,16.02,2023
2023-09-02,Chelsea,Nottingham,0,1,A,1.41,4.9,8.04,2023
2023-09-02,Burnley,Tottenham,2,5,A,3.72,3.79,1.99,2023
2023-09-02,Brentford,Bournemouth,2,2,D,1.73,4.01,4.79,2023
2023-09-03,Brighton,Newcastle,3,1,H,2.55,3.84,2.61,2023
2023-09-03,Liverpool,Aston Villa,3,0,H,1.61,4.66,4.97,2023
2023-09-03,Crystal Palace,Wolves,3,2,H,1.9,3.54,4.42,2023
2023-09-04,Arsenal,Manchester Utd,3,1,H,1.78,4.11,4.31,2023
2023-09-16,Wolves,Liverpool,1,3,A,4.8,4.4,1.67,2023
2023-09-16,West Ham,Manchester City,1,3,A,5.61,4.23,1.61,2023
2023-09-16,Tottenham,Sheffield Utd,2,1,H,1.3,6.19,9.52,2023
2023-09-16,Manchester Utd,Brighton,1,3,A,1.99,3.98,3.54,2023
2023-09-16,Fulham,Luton,1,0,H,1.67,3.8,5.74,2023
2023-09-16,Aston Villa,Crystal Palace,3,1,H,1.95,3.66,4.05,2023
2023-09-17,Newcastle,Brentford,1,0,H,1.64,4.09,5.45,2023
2023-09-17,Bournemouth,Chelsea,0,0,D,4.11,3.88,1.87,2023
2023-09-18,Everton,Arsenal,0,1,A,5.75,4.41,1.57,2023
2023-09-19,Nottingham,Burnley,1,1,D,2.11,3.46,3.64,2023
2023-09-23,Manchester City,Nottingham,2,0,H,1.16,8.3,18.2,2023
2023-09-23,Luton,Wolves,1,1,D,3.2,3.33,2.37,2023
2023-09-23,Crystal Palace,Fulham,0,0,D,2.07,3.34,3.93,2023
2023-09-24,Brentford,Everton,1,3,A,1.93,3.58,4.23,2023
2023-09-24,Burnley,Manchester Utd,0,1,A,4.17,3.9,1.85,2023
2023-09-24,Liverpool,West Ham,3,1,H,1.37,5.59,7.87,2023
2023-09-24,Chelsea,Aston Villa,0,1,A,1.85,3.91,4.16,2023
2023-09-24,Brighton,Bournemouth,3,1,H,1.51,4.88,5.92,2023
2023-09-24,Arsenal,Tottenham,2,2,D,1.65,4.34,5.03,2023
2023-09-25,Sheffield Utd,Newcastle,0,8,A,6.22,4.4,1.54,2023
2023-09-30,Aston Villa,Brighton,6,1,H,2.53,3.72,2.71,2023
2023-09-30,Wolves,Manchester City,2,1,H,8.4,5.18,1.39,2023
2023-09-30,West Ham,Sheffield Utd,2,0,H,1.45,4.84,7.44,2023
2023-09-30,Newcastle,Burnley,2,0,H,1.39,5.21,8.33,2023
2023-09-30,Manchester Utd,Crystal Palace,0,1,A,1.58,4.28,6.05,2023
2023-09-30,Everton,Luton,1,2,A,1.65,3.88,5.81,2023
2023-09-30,Bournemouth,Arsenal,0,4,A,6.1,4.59,1.54,2023
2023-10-01,Tottenham,Liverpool,2,1,H,3.01,3.93,2.26,2023
2023-10-01,Nottingham,Brentford,1,1,D,2.67,3.19,2.9,2023
2023-10-03,Fulham,Chelsea,0,2,A,3.52,3.45,2.19,2023
2023-10-04,Luton,Burnley,1,2,A,2.99,3.17,2.62,2023
2023-10-07,Luton,Tottenham,0,1,A,6.89,5.06,1.45,2023
2023-10-07,Manchester Utd,Brentford,2,1,H,1.66,4.21,5.17,2023
2023-10-07,Fulham,Sheffield Utd,3,1,H,1.54,4.35,6.6,2023
2023-10-07,Everton,Bournemouth,3,0,H,1.93,3.76,4.05,2023
2023-10-07,Burnley,Chelsea,1,4,A,5.19,4.03,1.7,2023
2023-10-08,Crystal Palace,Nottingham,0,0,D,2.31,3.18,3.54,2023
2023-10-08,Wolves,Aston Villa,1,1,D,3.68,3.63,2.07,2023
2023-10-08,West Ham,Newcastle,2,2,D,3.39,3.69,2.16,2023
2023-10-08,Brighton,Liverpool,2,2,D,3.28,4.22,2.06,2023
2023-10-09,Arsenal,Manchester City,1,0,H,3.0,3.36,2.5,2023
2023-10-21,Liverpool,Everton,2,0,H,1.4,5.49,7.35,2023
2023-10-21,Nottingham,Luton,2,2,D,1.74,3.69,5.41,2023
2023-10-21,Newcastle,Crystal Palace,4,0,H,1.47,4.51,7.7,2023
2023-10-21,Manchester City,Brighton,2,1,H,1.36,5.83,7.88,2023
2023-10-21,Brentford,Burnley,3,0,H,1.75,3.84,4.99,2023
2023-10-21,Bournemouth,Wolves,1,2,A,2.38,3.42,3.13,2023
2023-10-22,Chelsea,Arsenal,2,2,D,3.32,3.32,2.34,2023
2023-10-22,Sheffield Utd,Manchester Utd,1,2,A,7.8,5.61,1.38,2023
2023-10-23,Aston Villa,West Ham,4,1,H,1.82,3.93,4.37,2023
2023-10-24,Tottenham,Fulham,2,0,H,1.51,4.75,6.29,2023
2023-10-28,Crystal Palace,Tottenham,1,2,A,4.57,3.87,1.8,2023
2023-10-28,Chelsea,Brentford,0,2,A,1.66,4.09,5.38,2023
