Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2,Season
2022-08-06,Crystal Palace,Arsenal,0,2,A,4.54,3.61,1.87,2022
2022-08-06,Fulham,Liverpool,2,2,D,10.36,6.2,1.29,2022
2022-08-06,Tottenham,Southampton,4,1,H,1.37,5.21,8.57,2022
2022-08-06,Newcastle,Nottingham,2,0,H,1.6,4.07,6.11,2022
2022-08-06,Leeds,Wolves,2,1,H,2.42,3.38,3.08,2022
2022-08-06,Bournemouth,Aston Villa,2,0,H,3.98,3.52,2.01,2022
2022-08-07,Everton,Chelsea,0,1,A,6.33,4.05,1.59,2022
2022-08-07,Manchester Utd,Brighton,1,2,A,1.76,3.85,4.92,2022
2022-08-07,Leicester,Brentford,2,2,D,1.93,3.7,4.07,2022
2022-08-08,West Ham,Manchester City,0,2,A,8.0,5.27,1.39,2022
2022-08-13,Aston Villa,Everton,2,1,H,1.81,3.57,4.91,2022
2022-08-13,Wolves,Fulham,0,0,D,2.22,3.41,3.44,2022
2022-08-13,Southampton,Leeds,2,2,D,2.44,3.56,2.91,2022
2022-08-13,Manchester City,Bournemouth,4,0,H,1.08,12.75,31.17,2022
2022-08-13,Brighton,Newcastle,0,0,D,2.44,3.29,3.12,2022
2022-08-13,Arsenal,Leicester,4,2,H,1.57,4.38,5.9,2022
2022-08-14,Brentford,Manchester Utd,4,0,H,4.34,3.81,1.85,2022
2022-08-14,Nottingham,West Ham,1,0,H,4.02,3.62,1.97,2022
2022-08-15,Chelsea,Tottenham,2,2,D,2.15,3.51,3.51,2022
2022-08-16,Liverpool,Crystal Palace,1,1,D,1.27,6.19,12.08,2022
2022-08-20,Tottenham,Wolves,1,0,H,1.45,4.81,7.32,2022
2022-08-20,Leicester,Southampton,1,2,A,1.77,4.09,4.38,2022
2022-08-20,Fulham,Brentford,3,2,H,2.69,3.4,2.73,2022
2022-08-20,Everton,Nottingham,1,1,D,1.91,3.53,4.36,2022
2022-08-20,Crystal Palace,Aston Villa,3,1,H,2.5,3.24,3.09,2022
2022-08-21,Bournemouth,Arsenal,0,3,A,7.53,4.74,1.45,2022
2022-08-21,West Ham,Brighton,0,2,A,2.51,3.38,2.95,2022
2022-08-21,Leeds,Chelsea,3,0,H,5.97,4.62,1.54,2022
2022-08-22,Newcastle,Manchester City,3,3,D,6.92,4.9,1.46,2022
2022-08-23,Manchester Utd,Liverpool,2,1,H,4.67,4.38,1.69,2022
2022-08-27,Southampton,Manchester Utd,0,1,A,3.73,3.93,1.95,2022
2022-08-27,Manchester City,Crystal Palace,4,2,H,1.2,7.59,15.89,2022
2022-08-27,Liverpool,Bournemouth,9,0,H,1.15,9.05,18.95,2022
2022-08-27,Chelsea,Leicester,2,1,H,1.41,5.06,7.77,2022
2022-08-27,Brighton,Leeds,1,0,H,1.75,3.91,4.88,2022
2022-08-27,Brentford,Everton,1,1,D,2.11,3.45,3.72,2022
2022-08-28,Arsenal,Fulham,2,1,H,1.4,5.39,7.6,2022
