Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2,Season
2018-08-11,Manchester Utd,Leicester,2,1,H,1.55,4.01,7.06,2018
2018-08-11,Newcastle,Tottenham,1,2,A,4.43,3.53,1.9,2018
2018-08-11,Watford,Brighton,2,0,H,2.49,3.09,3.18,2018
2018-08-11,Huddersfield,Chelsea,0,3,A,6.73,3.93,1.58,2018
2018-08-11,Fulham,Crystal Palace,0,2,A,2.54,3.4,2.86,2018
2018-08-11,Bournemouth,Cardiff,2,0,H,1.87,3.57,4.48,2018
2018-08-12,Wolves,Everton,2,2,D,2.42,3.22,3.23,2018
2018-08-12,Southampton,Burnley,0,0,D,1.98,3.25,4.53,2018
2018-08-12,Liverpool,West Ham,4,0,H,1.23,6.8,12.42,2018
2018-08-13,Arsenal,Manchester City,0,2,A,4.27,3.96,1.82,2018
2018-08-18,Cardiff,Newcastle,0,0,D,3.27,3.1,2.42,2018
2018-08-18,West Ham,Bournemouth,1,2,A,2.08,3.54,3.62,2018
2018-08-18,Tottenham,Fulham,3,1,H,1.26,6.09,11.8,2018
2018-08-18,Leicester,Wolves,2,0,H,2.11,3.35,3.73,2018
2018-08-18,Everton,Southampton,2,1,H,1.82,3.5,4.86,2018
2018-08-19,Chelsea,Arsenal,3,2,H,1.81,3.81,4.42,2018
2018-08-19,Manchester City,Huddersfield,6,1,H,1.08,12.24,32.9,2018
2018-08-19,Burnley,Watford,1,3,A,2.4,3.06,3.37,2018
2018-08-20,Brighton,Manchester Utd,3,2,H,5.9,3.58,1.69,2018
2018-08-21,Crystal Palace,Liverpool,0,2,A,7.8,5.11,1.39,2018
2018-08-25,Wolves,Manchester City,1,1,D,11.04,5.77,1.29,2018
2018-08-25,Southampton,Leicester,1,2,A,2.32,3.29,3.28,2018
2018-08-25,Huddersfield,Cardiff,0,0,D,2.4,3.02,3.42,2018
2018-08-25,Bournemouth,Everton,2,2,D,2.64,3.44,2.69,2018
2018-08-25,Arsenal,West Ham,3,1,H,1.37,5.37,8.09,2018
2018-08-26,Liverpool,Brighton,1,0,H,1.15,8.44,19.21,2018
2018-08-26,Watford,Crystal Palace,2,1,H,2.33,3.3,3.23,2018
2018-08-27,Newcastle,Chelsea,1,2,A,6.3,4.08,1.57,2018
2018-08-27,Fulham,Burnley,4,2,H,2.2,3.22,3.62,2018
2018-08-28,Manchester Utd,Tottenham,0,3,A,2.59,3.27,2.88,2018
2018-09-01,Leicester,Liverpool,1,2,A,7.54,4.79,1.43,2018
2018-09-01,West Ham,Wolves,0,1,A,2.58,3.28,2.9,2018
2018-09-01,Everton,Huddersfield,1,1,D,1.58,3.85,6.95,2018
2018-09-01,Crystal Palace,Southampton,0,2,A,2.46,3.26,3.13,2018
