Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2024-03-20,San Diego Padres,Los Angeles Dodgers,2,5,A,2.61,1.55,2024
2024-03-21,Los Angeles Dodgers,San Diego Padres,11,15,A,1.51,2.73,2024
2024-03-29,Baltimore Orioles,Los Angeles Angels,11,3,H,1.52,2.68,2024
2024-03-29,Tampa Bay Rays,Toronto Blue Jays,2,8,A,1.68,2.29,2024
2024-03-29,San Diego Padres,San Francisco Giants,6,4,H,1.96,1.93,2024
2024-03-29,Miami Marlins,Pittsburgh Pirates,5,6,A,1.82,2.08,2024
2024-03-29,Los Angeles Dodgers,St.Louis Cardinals,7,1,H,1.39,3.20,2024
2024-03-29,Kansas City Royals,Minnesota Twins,1,4,A,2.09,1.81,2024
2024-03-29,Houston Astros,New York Yankees,4,5,A,1.66,2.33,2024
2024-03-29,Cincinnati Reds,Washington Nationals,8,2,H,1.67,2.32,2024
2024-03-29,Chicago White Sox,Detroit Tigers,0,1,A,2.39,1.63,2024
2024-03-29,Texas Rangers,Chicago Cubs,4,3,H,1.82,2.08,2024
2024-03-29,Athletics,Cleveland Guardians,0,8,A,2.25,1.71,2024
2024-03-29,Seattle Mariners,Boston Red Sox,4,6,A,1.68,2.30,2024
2024-03-29,Arizona Diamondbacks,Colorado Rockies,16,1,H,1.45,2.93,2024
2024-03-30,New York Mets,Milwaukee Brewers,1,3,A,1.86,2.03,2024
2024-03-30,Philadelphia Phillies,Atlanta Braves,3,9,A,2.16,1.76,2024
2024-03-30,Tampa Bay Rays,Toronto Blue Jays,8,2,H,1.79,2.12,2024
2024-03-30,Miami Marlins,Pittsburgh Pirates,2,7,A,1.70,2.26,2024
2024-03-30,Houston Astros,New York Yankees,1,7,A,1.84,2.05,2024
2024-03-30,San Diego Padres,San Francisco Giants,3,8,A,1.70,2.26,2024
2024-03-30,Athletics,Cleveland Guardians,4,6,A,2.15,1.77,2024
2024-03-30,Arizona Diamondbacks,Colorado Rockies,7,3,H,1.41,3.10,2024
2024-03-30,Seattle Mariners,Boston Red Sox,1,0,H,1.66,2.34,2024
2024-03-30,Los Angeles Dodgers,St.Louis Cardinals,6,3,H,1.43,3.01,2024
2024-03-31,New York Mets,Milwaukee Brewers,6,7,A,1.80,2.10,2024
2024-03-31,Chicago White Sox,Detroit Tigers,6,7,A,2.13,1.78,2024
2024-03-31,Philadelphia Phillies,Atlanta Braves,4,12,A,2.14,1.77,2024
2024-03-31,Baltimore Orioles,Los Angeles Angels,13,4,H,1.59,2.50,2024
2024-03-31,Athletics,Cleveland Guardians,3,12,A,2.14,1.77,2024
