Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2016-04-04,Pittsburgh Pirates,St.Louis Cardinals,4,1,H,1.84,2.03,2016
2016-04-04,Tampa Bay Rays,Toronto Blue Jays,3,5,A,1.84,2.02,2016
2016-04-04,Kansas City Royals,New York Mets,4,3,H,2.03,1.83,2016
2016-04-05,Milwaukee Brewers,San Francisco Giants,3,12,A,2.57,1.55,2016
2016-04-05,Baltimore Orioles,Minnesota Twins,3,2,H,1.81,2.06,2016
2016-04-05,Texas Rangers,Seattle Mariners,3,2,H,1.79,2.10,2016
2016-04-05,Cincinnati Reds,Philadelphia Phillies,6,2,H,1.57,2.53,2016
2016-04-05,Atlanta Braves,Washington Nationals,3,4,A,2.58,1.55,2016
2016-04-05,San Diego Padres,Los Angeles Dodgers,0,15,A,2.71,1.50,2016
2016-04-05,Tampa Bay Rays,Toronto Blue Jays,3,5,A,1.84,2.02,2016
2016-04-05,Arizona Diamondbacks,Colorado Rockies,5,10,A,1.54,2.58,2016
2016-04-05,Los Angeles Angels,Chicago Cubs,0,9,A,2.24,1.71,2016
2016-04-05,Athletics,Chicago White Sox,3,4,A,2.27,1.70,2016
2016-04-06,New York Yankees,Houston Astros,3,5,A,2.08,1.82,2016
2016-04-06,Cleveland Guardians,Boston Red Sox,2,6,A,1.83,2.06,2016
2016-04-06,Kansas City Royals,New York Mets,0,2,A,2.11,1.78,2016
2016-04-06,Pittsburgh Pirates,St.Louis Cardinals,6,5,H,1.88,1.97,2016
2016-04-06,Tampa Bay Rays,Toronto Blue Jays,3,2,H,1.97,1.89,2016
2016-04-06,Miami Marlins,Detroit Tigers,7,8,A,1.96,1.89,2016
2016-04-06,Texas Rangers,Seattle Mariners,2,10,A,1.91,1.94,2016
2016-04-06,Milwaukee Brewers,San Francisco Giants,1,2,A,2.41,1.62,2016
2016-04-06,Arizona Diamondbacks,Colorado Rockies,11,6,H,1.79,2.11,2016
2016-04-06,Los Angeles Angels,Chicago Cubs,1,6,A,2.09,1.79,2016
2016-04-06,Athletics,Chicago White Sox,4,5,A,1.95,1.87,2016
2016-04-06,San Diego Padres,Los Angeles Dodgers,0,3,A,2.03,1.85,2016
2016-04-07,Tampa Bay Rays,Toronto Blue Jays,5,3,H,2.13,1.77,2016
2016-04-07,Milwaukee Brewers,San Francisco Giants,4,3,H,2.20,1.72,2016
2016-04-07,Texas Rangers,Seattle Mariners,5,9,A,2.11,1.78,2016
2016-04-07,Arizona Diamondbacks,Colorado Rockies,3,4,A,1.68,2.29,2016
2016-04-07,Miami Marlins,Detroit Tigers,3,7,A,1.61,2.43,2016
2016-04-07,Cleveland Guardians,Boston Red Sox,7,6,H,1.73,2.19,2016
2016-04-07,Pittsburgh Pirates,St.Louis Cardinals,5,1,H,1.91,1.94,2016
2016-04-07,New York Yankees,Houston Astros,16,6,H,1.79,2.10,2016
2016-04-07,Baltimore Orioles,Minnesota Twins,4,2,H,1.85,2.01,2016
2016-04-07,Cincinnati Reds,Philadelphia Phillies,3,2,H,1.76,2.15,2016
2016-04-07,Atlanta Braves,Washington Nationals,1,3,A,2.69,1.51,2016
2016-04-07,San Diego Padres,Los Angeles Dodgers,0,7,A,2.28,1.67,2016
2016-04-07,Athletics,Chicago White Sox,2,1,H,1.78,2.12,2016
2016-04-08,Cincinnati Reds,Philadelphia Phillies,10,6,H,1.79,2.10,2016
2016-04-08,Athletics,Chicago White Sox,1,6,A,1.85,2.01,2016
2016-04-08,Washington Nationals,Miami Marlins,4,6,A,1.71,2.22,2016
2016-04-08,New York Yankees,Houston Astros,8,5,H,1.89,1.95,2016
2016-04-08,San Francisco Giants,Los Angeles Dodgers,12,6,H,1.82,2.06,2016
2016-04-08,Baltimore Orioles,Minnesota Twins,4,2,H,1.73,2.19,2016
2016-04-08,Arizona Diamondbacks,Chicago Cubs,6,14,A,2.44,1.57,2016
2016-04-08,Los Angeles Angels,Texas Rangers,4,3,H,1.71,2.23,2016
2016-04-09,New York Mets,Philadelphia Phillies,7,2,H,1.35,3.33,2016
2016-04-09,Detroit Tigers,New York Yankees,4,0,H,1.84,2.03,2016
2016-04-09,Colorado Rockies,San Diego Padres,6,13,A,1.67,2.31,2016
2016-04-09,Chicago White Sox,Cleveland Guardians,1,7,A,2.22,1.71,2016
2016-04-09,Baltimore Orioles,Tampa Bay Rays,6,1,H,2.13,1.77,2016
2016-04-09,Toronto Blue Jays,Boston Red Sox,7,8,A,1.62,2.41,2016
2016-04-09,Cincinnati Reds,Pittsburgh Pirates,5,6,A,2.25,1.69,2016
2016-04-09,Atlanta Braves,St.Louis Cardinals,4,7,A,2.41,1.62,2016
2016-04-09,Milwaukee Brewers,Houston Astros,6,4,H,2.07,1.81,2016
2016-04-09,Kansas City Royals,Minnesota Twins,4,3,H,1.62,2.39,2016
2016-04-09,Arizona Diamondbacks,Chicago Cubs,3,2,H,2.11,1.79,2016
2016-04-09,Los Angeles Angels,Texas Rangers,3,7,A,1.76,2.15,2016
2016-04-09,Seattle Mariners,Athletics,2,3,A,1.66,2.34,2016
2016-04-09,San Francisco Giants,Los Angeles Dodgers,3,2,H,1.91,1.95,2016
2016-04-10,Toronto Blue Jays,Boston Red Sox,4,8,A,1.81,2.06,2016
2016-04-10,Detroit Tigers,New York Yankees,4,8,A,1.88,1.97,2016
2016-04-10,Cincinnati Reds,Pittsburgh Pirates,5,1,H,2.14,1.76,2016
2016-04-10,Chicago White Sox,Cleveland Guardians,7,3,H,1.59,2.49,2016
2016-04-10,San Francisco Giants,Los Angeles Dodgers,2,3,A,2.15,1.70,2016
2016-04-10,Milwaukee Brewers,Houston Astros,4,6,A,2.33,1.65,2016
