Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2022-04-08,Chicago Cubs,Milwaukee Brewers,5,4,H,2.55,1.57,2022
2022-04-08,Kansas City Royals,Cleveland Guardians,3,1,H,2.08,1.82,2022
2022-04-08,St.Louis Cardinals,Pittsburgh Pirates,9,0,H,1.62,2.42,2022
2022-04-08,Washington Nationals,New York Mets,1,5,A,2.14,1.78,2022
2022-04-08,Atlanta Braves,Cincinnati Reds,3,6,A,1.56,2.56,2022
2022-04-08,Los Angeles Angels,Houston Astros,1,3,A,1.82,2.09,2022
2022-04-08,Arizona Diamondbacks,San Diego Padres,4,2,H,2.22,1.72,2022
2022-04-09,New York Yankees,Boston Red Sox,6,5,H,1.58,2.53,2022
2022-04-09,Detroit Tigers,Chicago White Sox,5,4,H,2.19,1.74,2022
2022-04-09,Philadelphia Phillies,Athletics,9,5,H,1.51,2.71,2022
2022-04-09,Tampa Bay Rays,Baltimore Orioles,2,1,H,1.53,2.66,2022
2022-04-09,Minnesota Twins,Seattle Mariners,1,2,A,1.83,2.06,2022
2022-04-09,Colorado Rockies,Los Angeles Dodgers,3,5,A,2.81,1.48,2022
2022-04-09,San Francisco Giants,Miami Marlins,6,5,H,1.69,2.29,2022
2022-04-09,Washington Nationals,New York Mets,3,7,A,2.41,1.62,2022
2022-04-09,Toronto Blue Jays,Texas Rangers,10,8,H,1.59,2.51,2022
2022-04-09,Atlanta Braves,Cincinnati Reds,7,6,H,1.55,2.58,2022
2022-04-09,Los Angeles Angels,Houston Astros,6,13,A,1.86,2.04,2022
2022-04-09,Arizona Diamondbacks,San Diego Padres,0,3,A,2.27,1.69,2022
2022-04-10,Tampa Bay Rays,Baltimore Orioles,5,3,H,1.45,2.94,2022
2022-04-10,Detroit Tigers,Chicago White Sox,2,5,A,2.19,1.74,2022
2022-04-10,Minnesota Twins,Seattle Mariners,3,4,A,1.74,2.19,2022
2022-04-10,St.Louis Cardinals,Pittsburgh Pirates,6,2,H,1.60,2.49,2022
2022-04-10,Chicago Cubs,Milwaukee Brewers,9,0,H,2.36,1.65,2022
2022-04-10,Toronto Blue Jays,Texas Rangers,4,3,H,1.50,2.77,2022
2022-04-10,San Francisco Giants,Miami Marlins,1,2,A,1.69,2.28,2022
2022-04-10,Philadelphia Phillies,Athletics,4,2,H,1.50,2.73,2022
2022-04-10,New York Yankees,Boston Red Sox,4,2,H,1.65,2.37,2022
2022-04-10,Kansas City Royals,Cleveland Guardians,1,0,H,1.84,2.05,2022
