Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2023-02-26,Nashville SC,New York City,2,0,H,2.1,3.67,2023
2023-02-26,Philadelphia Union,Columbus Crew,4,1,H,1.54,5.98,2023
2023-02-26,Orlando City,New York Red Bulls,1,0,H,2.37,3.14,2023
2023-02-26,Inter Miami,CF Montreal,2,0,H,2.33,2.99,2023
2023-02-26,FC Cincinnati,Houston Dynamo,2,1,H,1.56,5.6,2023
2023-02-26,DC United,Toronto FC,3,2,H,2.58,2.55,2023
2023-02-26,Charlotte,New England Revolution,0,1,A,2.02,3.58,2023
2023-02-26,Atlanta Utd,San Jose Earthquakes,2,1,H,1.65,4.84,2023
2023-02-26,FC Dallas,Minnesota United,0,1,A,1.82,4.53,2023
2023-02-26,Austin FC,St. Louis City,2,3,A,1.5,6.45,2023
2023-02-26,Vancouver Whitecaps,Real Salt Lake,1,2,A,2.27,3.18,2023
2023-02-27,Seattle Sounders,Colorado Rapids,4,0,H,1.64,5.67,2023
2023-02-28,Portland Timbers,Sporting Kansas City,1,0,H,1.9,3.76,2023
2023-03-05,Los Angeles FC,Portland Timbers,3,2,H,1.44,6.49,2023
2023-03-05,Orlando City,FC Cincinnati,0,0,D,2.59,2.76,2023
2023-03-05,New York Red Bulls,Nashville SC,0,0,D,1.92,4.36,2023
2023-03-05,New England Revolution,Houston Dynamo,3,0,H,1.79,4.46,2023
2023-03-05,Inter Miami,Philadelphia Union,2,0,H,3.01,2.3,2023
2023-03-05,Columbus Crew,DC United,2,0,H,1.89,4.12,2023
2023-03-05,Atlanta Utd,Toronto FC,1,1,D,1.75,4.25,2023
2023-03-05,Austin FC,CF Montreal,1,0,H,1.9,3.92,2023
2023-03-05,St. Louis City,Charlotte,3,1,H,2.18,3.23,2023
2023-03-05,FC Dallas,Los Angeles Galaxy,3,1,H,2.02,3.79,2023
2023-03-05,Chicago Fire,New York City,1,1,D,2.19,3.33,2023
2023-03-05,Colorado Rapids,Sporting Kansas City,0,0,D,2.09,3.48,2023
2023-03-05,Seattle Sounders,Real Salt Lake,2,0,H,1.65,5.51,2023
2023-03-05,San Jose Earthquakes,Vancouver Whitecaps,2,1,H,1.92,3.77,2023
2023-03-12,Charlotte,Atlanta Utd,0,3,A,2.37,2.88,2023
2023-03-12,Vancouver Whitecaps,FC Dallas,1,1,D,2.29,3.13,2023
2023-03-12,Toronto FC,Columbus Crew,1,1,D,2.17,3.34,2023
2023-03-12,Philadelphia Union,Chicago Fire,1,0,H,1.48,6.78,2023
2023-03-12,New York City,Inter Miami,1,0,H,1.76,4.77,2023
2023-03-12,FC Cincinnati,Seattle Sounders,1,0,H,2.14,3.36,2023
2023-03-12,DC United,Orlando City,1,1,D,1.91,4.05,2023
2023-03-12,Sporting Kansas City,Los Angeles Galaxy,0,0,D,2.13,3.26,2023
2023-03-12,Nashville SC,CF Montreal,2,0,H,1.84,4.25,2023
2023-03-12,Minnesota United,New York Red Bulls,1,1,D,2.6,2.79,2023
2023-03-12,Real Salt Lake,Austin FC,1,2,A,2.13,3.36,2023
2023-03-12,San Jose Earthquakes,Colorado Rapids,1,0,H,1.73,4.6,2023
2023-03-12,Portland Timbers,St. Louis City,1,2,A,1.88,4.01,2023
2023-03-13,Los Angeles FC,New England Revolution,4,0,H,1.62,5.35,2023
2023-03-19,Seattle Sounders,Los Angeles FC,0,0,D,2.28,3.03,2023
2023-03-19,Toronto FC,Inter Miami,2,0,H,2.09,3.49,2023
2023-03-19,Orlando City,Charlotte,1,2,A,2.06,3.63,2023
2023-03-19,New York Red Bulls,Columbus Crew,2,1,H,1.84,4.9,2023
2023-03-19,New York City,DC United,3,2,H,1.75,4.74,2023
2023-03-19,New England Revolution,Nashville SC,1,0,H,2.43,3.04,2023
2023-03-19,CF Montreal,Philadelphia Union,3,2,H,2.82,2.5,2023
2023-03-19,Atlanta Utd,Portland Timbers,5,1,H,1.55,5.63,2023
2023-03-19,St. Louis City,San Jose Earthquakes,3,0,H,2.18,3.29,2023
2023-03-19,Houston Dynamo,Austin FC,2,0,H,2.41,2.88,2023
2023-03-19,FC Dallas,Sporting Kansas City,2,1,H,2.02,3.79,2023
2023-03-19,Chicago Fire,FC Cincinnati,3,3,D,2.67,2.77,2023
2023-03-19,Colorado Rapids,Minnesota United,1,2,A,2.18,3.37,2023
2023-03-19,Los Angeles Galaxy,Vancouver Whitecaps,1,1,D,1.67,4.88,2023
2023-03-26,Portland Timbers,Los Angeles Galaxy,0,0,D,2.43,2.82,2023
2023-03-26,Philadelphia Union,Orlando City,1,2,A,1.62,5.77,2023
2023-03-26,Inter Miami,Chicago Fire,2,3,A,2.03,3.7,2023
2023-03-26,DC United,New England Revolution,1,2,A,2.32,3.07,2023
2023-03-26,Columbus Crew,Atlanta Utd,6,1,H,2.83,2.52,2023
2023-03-26,Charlotte,New York Red Bulls,1,1,D,2.82,2.66,2023
2023-03-26,Nashville SC,FC Cincinnati,0,1,A,1.98,3.96,2023
2023-03-26,Minnesota United,Vancouver Whitecaps,1,1,D,2.37,2.95,2023
2023-03-26,Houston Dynamo,New York City,1,0,H,2.63,2.76,2023
2023-03-26,Austin FC,Colorado Rapids,1,1,D,1.72,4.56,2023
2023-03-26,Sporting Kansas City,Seattle Sounders,1,4,A,2.13,3.44,2023
2023-03-26,Real Salt Lake,St. Louis City,0,4,A,2.13,3.33,2023
2023-03-26,San Jose Earthquakes,Toronto FC,0,0,D,1.73,4.55,2023
2023-03-26,Los Angeles FC,FC Dallas,2,1,H,1.56,5.88,2023
2023-04-02,Toronto FC,Charlotte,2,2,D,2.0,3.76,2023
2023-04-02,Philadelphia Union,Sporting Kansas City,0,0,D,1.66,5.07,2023
2023-04-02,Orlando City,Nashville SC,0,2,A,2.49,2.94,2023
2023-04-02,New England Revolution,New York City,1,1,D,2.44,2.88,2023
2023-04-02,Los Angeles Galaxy,Seattle Sounders,1,2,A,2.5,2.77,2023
2023-04-02,FC Cincinnati,Inter Miami,1,0,H,1.61,5.43,2023
2023-04-02,Columbus Crew,Real Salt Lake,4,0,H,1.57,5.96,2023
2023-04-02,Atlanta Utd,New York Red Bulls,1,0,H,2.11,3.45,2023
2023-04-02,St. Louis City,Minnesota United,0,1,A,1.83,4.26,2023
2023-04-02,FC Dallas,Portland Timbers,1,1,D,1.67,5.19,2023
2023-04-02,Chicago Fire,DC United,0,0,D,1.94,3.84,2023
2023-04-02,Colorado Rapids,Los Angeles FC,0,0,D,3.38,2.12,2023
2023-04-02,Vancouver Whitecaps,CF Montreal,5,0,H,2.1,3.38,2023
2023-04-02,San Jose Earthquakes,Houston Dynamo,2,1,H,1.88,4.09,2023
2023-04-09,New York Red Bulls,San Jose Earthquakes,1,1,D,1.71,5.09,2023
2023-04-09,New York City,Atlanta Utd,1,1,D,2.05,3.55,2023
2023-04-09,New England Revolution,CF Montreal,4,0,H,1.64,5.03,2023
2023-04-09,Los Angeles FC,Austin FC,3,0,H,1.49,6.23,2023
2023-04-09,Inter Miami,FC Dallas,0,1,A,2.38,3.11,2023
2023-04-09,FC Cincinnati,Philadelphia Union,1,0,H,1.67,5.36,2023
2023-04-09,DC United,Columbus Crew,0,2,A,2.42,2.95,2023
2023-04-09,Sporting Kansas City,Colorado Rapids,0,1,A,1.9,4.09,2023
2023-04-09,Nashville SC,Toronto FC,0,0,D,1.77,4.65,2023
2023-04-09,Houston Dynamo,Los Angeles Galaxy,3,0,H,2.2,3.14,2023
2023-04-09,Chicago Fire,Minnesota United,2,1,H,2.09,3.56,2023
2023-04-09,Real Salt Lake,Charlotte,3,1,H,2.0,3.62,2023
2023-04-09,Vancouver Whitecaps,Portland Timbers,1,0,H,1.78,4.32,2023
2023-04-09,Seattle Sounders,St. Louis City,3,0,H,1.55,5.85,2023
2023-04-16,Toronto FC,Atlanta Utd,2,2,D,2.59,2.65,2023
2023-04-16,New York Red Bulls,Houston Dynamo,1,1,D,1.89,4.53,2023
2023-04-16,New York City,Nashville SC,2,1,H,2.26,3.38,2023
2023-04-16,Columbus Crew,New England Revolution,1,1,D,1.94,3.95,2023
2023-04-16,Charlotte,Colorado Rapids,2,2,D,2.1,3.47,2023
2023-04-16,CF Montreal,DC United,0,1,A,2.57,2.76,2023
2023-04-16,St. Louis City,FC Cincinnati,5,1,H,2.4,2.88,2023
2023-04-16,Minnesota United,Orlando City,1,2,A,2.15,3.41,2023
2023-04-16,FC Dallas,Real Salt Lake,2,1,H,1.76,4.68,2023
2023-04-16,Chicago Fire,Philadelphia Union,2,2,D,2.65,2.8,2023
2023-04-16,Austin FC,Vancouver Whitecaps,0,0,D,2.15,3.24,2023
2023-04-16,San Jose Earthquakes,Sporting Kansas City,3,0,H,2.01,3.78,2023
2023-04-16,Portland Timbers,Seattle Sounders,4,1,H,3.3,2.19,2023
2023-04-17,Los Angeles Galaxy,Los Angeles FC,2,3,A,3.17,2.16,2023
2023-04-23,Philadelphia Union,Toronto FC,4,2,H,1.64,5.15,2023
2023-04-23,Orlando City,DC United,1,3,A,2.02,3.69,2023
2023-04-23,New York City,FC Dallas,3,1,H,1.84,4.43,2023
2023-04-23,New England Revolution,Sporting Kansas City,2,1,H,2.07,3.6,2023
2023-04-23,FC Cincinnati,Portland Timbers,2,1,H,1.58,5.6,2023
2023-04-23,Charlotte,Columbus Crew,1,0,H,2.32,3.05,2023
2023-04-23,CF Montreal,New York Red Bulls,2,0,H,3.44,2.21,2023
2023-04-23,Nashville SC,Los Angeles FC,1,1,D,2.55,2.82,2023
2023-04-23,Houston Dynamo,Inter Miami,1,0,H,1.82,4.43,2023
2023-04-23,Real Salt Lake,San Jose Earthquakes,3,1,H,2.04,3.42,2023
2023-04-23,Colorado Rapids,St. Louis City,1,1,D,1.92,3.87,2023
2023-04-23,Seattle Sounders,Minnesota United,1,0,H,1.7,5.0,2023
2023-04-23,Los Angeles Galaxy,Austin FC,2,0,H,1.7,4.52,2023
2023-04-24,Atlanta Utd,Chicago Fire,2,1,H,1.65,4.92,2023
2023-04-30,Nashville SC,Atlanta Utd,3,1,H,2.09,3.55,2023
2023-04-30,Toronto FC,New York City,1,0,H,2.29,3.18,2023
2023-04-30,Orlando City,Los Angeles Galaxy,2,0,H,2.2,3.15,2023
2023-04-30,New England Revolution,FC Cincinnati,1,1,D,2.2,3.37,2023
2023-04-30,DC United,Charlotte,3,0,H,1.81,4.3,2023
2023-04-30,Columbus Crew,Inter Miami,1,2,A,1.58,6.03,2023
2023-04-30,St. Louis City,Portland Timbers,1,2,A,1.77,4.4,2023
2023-04-30,Sporting Kansas City,CF Montreal,0,2,A,1.75,4.7,2023
2023-04-30,Chicago Fire,New York Red Bulls,1,1,D,2.36,3.27,2023
2023-04-30,Austin FC,San Jose Earthquakes,2,2,D,2.11,3.39,2023
2023-04-30,Real Salt Lake,Seattle Sounders,0,0,D,2.39,3.01,2023
2023-04-30,Vancouver Whitecaps,Colorado Rapids,0,0,D,1.81,4.28,2023
2023-05-01,Minnesota United,FC Dallas,0,0,D,2.17,3.43,2023
2023-05-07,Toronto FC,New England Revolution,0,2,A,2.11,3.38,2023
2023-05-07,San Jose Earthquakes,Los Angeles FC,2,1,H,3.27,2.15,2023
2023-05-07,New York Red Bulls,Philadelphia Union,0,1,A,2.18,3.67,2023
2023-05-07,Inter Miami,Atlanta Utd,2,1,H,2.64,2.73,2023
2023-05-07,FC Cincinnati,DC United,2,1,H,1.91,4.09,2023
2023-05-07,Charlotte,New York City,3,2,H,2.38,3.1,2023
2023-05-07,CF Montreal,Orlando City,2,0,H,2.33,3.17,2023
2023-05-07,Nashville SC,Chicago Fire,3,0,H,1.91,4.08,2023
2023-05-07,Houston Dynamo,Real Salt Lake,0,0,D,1.88,4.11,2023
2023-05-07,Vancouver Whitecaps,Minnesota United,3,2,H,1.69,5.05,2023
2023-05-07,Portland Timbers,Austin FC,2,2,D,1.84,4.23,2023
2023-05-07,Los Angeles Galaxy,Colorado Rapids,1,3,A,1.76,4.23,2023
2023-05-08,Seattle Sounders,Sporting Kansas City,1,2,A,1.69,5.22,2023
2023-05-14,Chicago Fire,St. Louis City,1,0,H,1.96,3.7,2023
2023-05-14,New York Red Bulls,New York City,1,0,H,2.1,3.96,2023
2023-05-14,Inter Miami,New England Revolution,2,1,H,3.01,2.38,2023
2023-05-14,DC United,Nashville SC,1,1,D,2.49,3.03,2023
2023-05-14,Columbus Crew,Orlando City,2,2,D,2.07,3.64,2023
2023-05-14,CF Montreal,Toronto FC,2,0,H,2.16,3.31,2023
2023-05-14,Atlanta Utd,Charlotte,1,3,A,1.65,5.14,2023
2023-05-14,Sporting Kansas City,Minnesota United,3,0,H,1.96,3.81,2023
2023-05-14,Houston Dynamo,Seattle Sounders,0,1,A,2.48,2.92,2023
2023-05-14,Austin FC,FC Dallas,0,1,A,2.42,2.97,2023
2023-05-14,Real Salt Lake,Los Angeles FC,0,3,A,3.12,2.2,2023
2023-05-14,Colorado Rapids,Philadelphia Union,1,2,A,2.26,3.21,2023
2023-05-14,Portland Timbers,Vancouver Whitecaps,3,1,H,2.37,2.93,2023
2023-05-15,Los Angeles Galaxy,San Jose Earthquakes,2,1,H,1.91,3.7,2023
2023-05-18,Toronto FC,New York Red Bulls,0,0,D,2.34,3.25,2023
2023-05-18,Philadelphia Union,DC United,0,0,D,1.75,4.71,2023
2023-05-18,Orlando City,New York City,1,1,D,2.42,3.11,2023
2023-05-18,FC Cincinnati,CF Montreal,3,0,H,1.67,5.11,2023
2023-05-18,Columbus Crew,Los Angeles Galaxy,2,0,H,1.73,4.39,2023
2023-05-18,Charlotte,Chicago Fire,2,1,H,2.18,3.26,2023
2023-05-18,Atlanta Utd,Colorado Rapids,4,0,H,1.77,4.35,2023
2023-05-18,Nashville SC,Inter Miami,2,1,H,1.54,6.27,2023
2023-05-18,Minnesota United,Houston Dynamo,1,0,H,1.67,5.36,2023
2023-05-18,FC Dallas,Vancouver Whitecaps,2,1,H,2.13,3.5,2023
2023-05-18,Real Salt Lake,Portland Timbers,0,0,D,2.09,3.36,2023
2023-05-18,Seattle Sounders,Austin FC,1,2,A,1.55,5.85,2023
2023-05-18,Los Angeles FC,Sporting Kansas City,1,1,D,1.42,6.92,2023
2023-05-21,Philadelphia Union,New England Revolution,3,0,H,2.04,3.69,2023
2023-05-21,New York Red Bulls,CF Montreal,2,1,H,1.74,5.23,2023
2023-05-21,Inter Miami,Orlando City,1,3,A,2.45,3.0,2023
2023-05-21,FC Cincinnati,Columbus Crew,3,2,H,2.14,3.33,2023
2023-05-21,DC United,Los Angeles Galaxy,3,0,H,2.19,3.23,2023
2023-05-21,Charlotte,Nashville SC,1,2,A,2.6,2.83,2023
2023-05-21,FC Dallas,Houston Dynamo,1,1,D,1.88,4.37,2023
2023-05-21,Chicago Fire,Atlanta Utd,3,3,D,2.41,2.86,2023
2023-05-21,Austin FC,Toronto FC,1,0,H,2.05,3.64,2023
2023-05-21,St. Louis City,Sporting Kansas City,4,0,H,2.23,3.31,2023
2023-05-21,Colorado Rapids,Real Salt Lake,2,3,A,1.83,4.31,2023
2023-05-21,Vancouver Whitecaps,Seattle Sounders,2,0,H,2.32,3.16,2023
2023-05-21,Portland Timbers,Minnesota United,0,1,A,1.96,3.76,2023
2023-05-21,Los Angeles FC,San Jose Earthquakes,2,1,H,1.6,5.3,2023
2023-05-28,Toronto FC,DC United,2,1,H,2.6,2.72,2023
2023-05-28,Orlando City,Atlanta Utd,1,1,D,2.29,3.03,2023
2023-05-28,New York City,Philadelphia Union,1,3,A,2.52,2.87,2023
2023-05-28,New England Revolution,Chicago Fire,3,3,D,1.69,4.62,2023
2023-05-28,CF Montreal,Inter Miami,1,0,H,1.87,4.12,2023
2023-05-28,St. Louis City,Vancouver Whitecaps,3,1,H,2.26,2.96,2023
2023-05-28,Minnesota United,Real Salt Lake,1,1,D,1.96,3.77,2023
2023-05-28,Houston Dynamo,Austin FC,2,1,H,1.98,3.83,2023
2023-05-28,Colorado Rapids,FC Cincinnati,0,1,A,2.3,3.17,2023
2023-05-28,Seattle Sounders,New York Red Bulls,1,0,H,1.94,4.22,2023
2023-05-28,San Jose Earthquakes,FC Dallas,1,1,D,1.99,3.73,2023
2023-05-28,Los Angeles Galaxy,Charlotte,0,1,A,1.67,4.67,2023
2023-05-29,Sporting Kansas City,Portland Timbers,4,1,H,1.91,3.91,2023
2023-05-29,Nashville SC,Columbus Crew,3,1,H,2.1,3.49,2023
2023-06-01,Atlanta Utd,New England Revolution,3,3,D,1.78,4.25,2023
2023-06-01,Toronto FC,Chicago Fire,0,0,D,2.26,3.06,2023
2023-06-01,Philadelphia Union,Charlotte,1,0,H,1.57,5.89,2023
2023-06-01,New York City,FC Cincinnati,1,3,A,2.3,3.1,2023
2023-06-01,Inter Miami,New York Red Bulls,0,1,A,3.23,2.41,2023
2023-06-01,DC United,CF Montreal,2,2,D,1.7,5.16,2023
2023-06-01,Columbus Crew,Colorado Rapids,3,2,H,1.54,5.81,2023
2023-06-01,Sporting Kansas City,FC Dallas,2,1,H,1.9,4.02,2023
2023-06-01,Austin FC,Minnesota United,2,1,H,2.17,3.37,2023
2023-06-01,Real Salt Lake,Los Angeles Galaxy,2,3,A,2.12,3.23,2023
2023-06-01,Vancouver Whitecaps,Houston Dynamo,6,2,H,1.7,4.6,2023
2023-06-01,Seattle Sounders,San Jose Earthquakes,0,1,A,1.73,4.6,2023
2023-06-04,New York City,New England Revolution,0,0,D,2.21,3.19,2023
2023-06-04,Seattle Sounders,Portland Timbers,0,0,D,1.85,4.23,2023
2023-06-04,Philadelphia Union,CF Montreal,3,0,H,1.39,8.17,2023
2023-06-04,New York Red Bulls,Orlando City,0,3,A,1.94,4.33,2023
2023-06-04,Inter Miami,DC United,1,2,A,2.8,2.5,2023
2023-06-04,FC Cincinnati,Chicago Fire,1,0,H,1.74,4.5,2023
2023-06-04,Columbus Crew,Charlotte,4,2,H,1.69,4.75,2023
2023-06-04,St. Louis City,Houston Dynamo,3,0,H,1.92,3.96,2023
2023-06-04,Minnesota United,Toronto FC,1,1,D,2.0,3.61,2023
2023-06-04,FC Dallas,Nashville SC,1,2,A,2.7,2.72,2023
2023-06-04,Austin FC,Real Salt Lake,1,2,A,1.8,4.11,2023
2023-06-04,Colorado Rapids,San Jose Earthquakes,0,0,D,1.86,4.09,2023
2023-06-04,Vancouver Whitecaps,Sporting Kansas City,1,1,D,1.75,4.26,2023
2023-06-08,FC Dallas,St. Louis City,2,0,H,2.35,3.85,2023
2023-06-08,Los Angeles FC,Atlanta Utd,0,0,D,1.64,4.7,2023
2023-06-11,Toronto FC,Nashville SC,1,1,D,2.45,2.95,2023
2023-06-11,Orlando City,Colorado Rapids,2,0,H,1.74,4.64,2023
2023-06-11,New England Revolution,Inter Miami,3,1,H,1.35,8.3,2023
2023-06-11,Charlotte,Seattle Sounders,3,3,D,2.64,2.75,2023
2023-06-11,CF Montreal,Minnesota United,4,0,H,2.38,2.9,2023
2023-06-11,Atlanta Utd,DC United,3,1,H,1.94,3.62,2023
2023-06-11,Sporting Kansas City,Austin FC,4,1,H,1.89,3.79,2023
2023-06-11,Houston Dynamo,Los Angeles FC,4,0,H,3.17,2.17,2023
2023-06-11,Chicago Fire,Columbus Crew,1,2,A,2.35,2.83,2023
2023-06-11,Real Salt Lake,New York City,0,0,D,2.12,3.35,2023
2023-06-11,Vancouver Whitecaps,FC Cincinnati,1,1,D,2.1,3.35,2023
2023-06-11,San Jose Earthquakes,Philadelphia Union,2,1,H,3.03,2.33,2023
2023-06-12,St. Louis City,Los Angeles Galaxy,1,1,D,2.03,3.32,2023
2023-06-12,Portland Timbers,FC Dallas,1,0,H,2.31,3.56,2023
2023-06-15,Los Angeles FC,Houston Dynamo,0,1,A,1.55,5.57,2023
2023-06-18,New York City,Columbus Crew,1,1,D,2.13,3.28,2023
2023-06-18,New England Revolution,Orlando City,3,1,H,1.64,4.85,2023
