Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2022-02-27,Philadelphia Union,Minnesota United,1,1,D,1.98,4.02,2022
2022-02-27,Los Angeles FC,Colorado Rapids,3,0,H,1.74,4.69,2022
2022-02-27,Columbus Crew,Vancouver Whitecaps,4,0,H,1.57,5.91,2022
2022-02-27,FC Dallas,Toronto FC,1,1,D,2.0,3.6,2022
2022-02-27,San Jose Earthquakes,New York Red Bulls,1,3,A,2.6,2.81,2022
2022-02-27,Inter Miami,Chicago Fire,0,0,D,2.7,2.61,2022
2022-02-27,DC United,Charlotte,3,0,H,1.65,5.35,2022
2022-02-27,Austin FC,FC Cincinnati,5,0,H,1.66,5.0,2022
2022-02-27,Portland Timbers,New England Revolution,2,2,D,2.38,2.81,2022
2022-02-28,Orlando City,CF Montreal,2,0,H,1.98,3.92,2022
2022-02-28,Atlanta Utd,Sporting Kansas City,3,1,H,2.06,3.66,2022
2022-02-28,Los Angeles Galaxy,New York City,1,0,H,2.64,2.63,2022
2022-02-28,Houston Dynamo,Real Salt Lake,0,0,D,1.63,5.57,2022
2022-02-28,Seattle Sounders,Nashville SC,0,1,A,2.09,3.84,2022
2022-03-06,New England Revolution,FC Dallas,1,0,H,1.56,5.45,2022
2022-03-06,Toronto FC,New York Red Bulls,1,4,A,2.59,2.76,2022
2022-03-06,Sporting Kansas City,Houston Dynamo,1,0,H,1.94,3.95,2022
2022-03-06,CF Montreal,Philadelphia Union,1,2,A,2.43,2.99,2022
2022-03-06,San Jose Earthquakes,Columbus Crew,3,3,D,2.68,2.54,2022
2022-03-06,Vancouver Whitecaps,New York City,0,0,D,3.68,2.03,2022
2022-03-06,Real Salt Lake,Seattle Sounders,1,0,H,2.28,3.39,2022
2022-03-06,Minnesota United,Nashville SC,1,1,D,2.75,2.73,2022
2022-03-06,FC Cincinnati,DC United,0,1,A,3.12,2.28,2022
2022-03-06,Colorado Rapids,Atlanta Utd,3,0,H,1.85,4.47,2022
2022-03-06,Chicago Fire,Orlando City,0,0,D,1.92,3.94,2022
2022-03-06,Charlotte,Los Angeles Galaxy,0,1,A,2.79,2.43,2022
2022-03-07,Austin FC,Inter Miami,5,1,H,1.68,5.0,2022
2022-03-07,Los Angeles FC,Portland Timbers,1,1,D,1.5,5.77,2022
2022-03-13,New York City,CF Montreal,4,1,H,1.41,7.67,2022
2022-03-13,Inter Miami,Los Angeles FC,0,2,A,3.67,1.99,2022
2022-03-13,Columbus Crew,Toronto FC,2,1,H,1.41,7.01,2022
2022-03-13,Seattle Sounders,Los Angeles Galaxy,3,2,H,1.98,3.82,2022
2022-03-13,Houston Dynamo,Vancouver Whitecaps,2,1,H,1.7,4.92,2022
2022-03-13,Philadelphia Union,San Jose Earthquakes,2,0,H,1.52,6.29,2022
2022-03-13,Orlando City,FC Cincinnati,1,2,A,1.54,6.09,2022
2022-03-13,New England Revolution,Real Salt Lake,2,3,A,1.75,4.78,2022
2022-03-13,DC United,Chicago Fire,0,2,A,2.22,3.34,2022
2022-03-13,FC Dallas,Nashville SC,2,0,H,2.56,3.04,2022
2022-03-13,Colorado Rapids,Sporting Kansas City,2,0,H,1.78,4.62,2022
2022-03-13,Portland Timbers,Austin FC,1,0,H,1.97,3.65,2022
2022-03-14,Atlanta Utd,Charlotte,2,1,H,1.51,6.21,2022
2022-03-14,New York Red Bulls,Minnesota United,0,1,A,1.57,6.03,2022
2022-03-20,New York City,Philadelphia Union,0,2,A,1.79,4.54,2022
2022-03-20,FC Cincinnati,Inter Miami,3,1,H,2.05,3.59,2022
2022-03-20,Toronto FC,DC United,2,1,H,2.34,2.93,2022
2022-03-20,Los Angeles Galaxy,Orlando City,0,1,A,1.84,4.29,2022
2022-03-20,Atlanta Utd,CF Montreal,3,3,D,1.8,4.45,2022
