Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2,Season
2017-03-04,Portland Timbers,Minnesota United,5,1,H,1.48,4.39,6.34,2017
2017-03-05,Columbus Crew,Chicago Fire,1,1,D,1.8,3.72,4.26,2017
2017-03-05,Los Angeles Galaxy,FC Dallas,1,2,A,2.38,3.31,2.95,2017
2017-03-05,Real Salt Lake,Toronto FC,0,0,D,2.6,3.25,2.71,2017
2017-03-05,Colorado Rapids,New England Revolution,1,0,H,1.98,3.35,3.91,2017
2017-03-05,DC United,Sporting Kansas City,0,0,D,2.31,3.24,3.14,2017
2017-03-05,Houston Dynamo,Seattle Sounders,2,1,H,2.39,3.3,2.96,2017
2017-03-05,San Jose Earthquakes,CF Montreal,1,0,H,2.04,3.36,3.67,2017
2017-03-06,Orlando City,New York City,1,0,H,2.06,3.72,3.26,2017
2017-03-06,Atlanta Utd,New York Red Bulls,1,2,A,2.41,3.46,2.81,2017
2017-03-06,Vancouver Whitecaps,Philadelphia Union,0,0,D,2.0,3.53,3.6,2017
2017-03-12,Chicago Fire,Real Salt Lake,2,0,H,1.77,3.74,4.4,2017
2017-03-12,New York Red Bulls,Colorado Rapids,1,0,H,1.67,3.72,5.2,2017
2017-03-12,Philadelphia Union,Toronto FC,2,2,D,2.82,3.27,2.49,2017
2017-03-12,CF Montreal,Seattle Sounders,2,2,D,2.24,3.29,3.23,2017
2017-03-12,Houston Dynamo,Columbus Crew,3,1,H,2.16,3.46,3.25,2017
2017-03-12,Sporting Kansas City,FC Dallas,0,0,D,1.82,3.59,4.3,2017
2017-03-12,San Jose Earthquakes,Vancouver Whitecaps,3,2,H,1.72,3.55,5.07,2017
2017-03-13,New York City,DC United,4,0,H,1.74,3.92,4.32,2017
2017-03-13,Minnesota United,Atlanta Utd,1,6,A,2.54,3.17,2.85,2017
2017-03-13,Los Angeles Galaxy,Portland Timbers,0,1,A,2.09,3.42,3.44,2017
2017-03-19,New York City,CF Montreal,1,1,D,1.75,3.92,4.28,2017
2017-03-19,Vancouver Whitecaps,Toronto FC,0,2,A,2.42,3.28,2.92,2017
2017-03-19,Atlanta Utd,Chicago Fire,4,0,H,1.85,3.74,3.97,2017
2017-03-19,DC United,Columbus Crew,0,2,A,2.17,3.47,3.2,2017
2017-03-19,Orlando City,Philadelphia Union,2,1,H,2.06,3.47,3.49,2017
2017-03-19,FC Dallas,New England Revolution,2,1,H,1.62,3.93,5.35,2017
2017-03-19,Sporting Kansas City,San Jose Earthquakes,2,1,H,1.78,3.55,4.57,2017
2017-03-19,Colorado Rapids,Minnesota United,2,2,D,1.41,4.5,7.47,2017
2017-03-19,Real Salt Lake,Los Angeles Galaxy,1,2,A,1.99,3.41,3.76,2017
2017-03-19,Portland Timbers,Houston Dynamo,4,2,H,1.7,3.9,4.69,2017
2017-03-20,Seattle Sounders,New York Red Bulls,3,1,H,2.11,3.46,3.39,2017
2017-03-26,New England Revolution,Minnesota United,5,2,H,1.39,4.72,7.33,2017
2017-03-26,New York Red Bulls,Real Salt Lake,0,0,D,1.43,4.49,6.96,2017
2017-03-26,Columbus Crew,Portland Timbers,3,2,H,1.74,3.95,4.23,2017
2017-04-01,Toronto FC,Sporting Kansas City,0,0,D,1.71,3.64,4.88,2017
2017-04-01,Seattle Sounders,Atlanta Utd,0,0,D,1.64,4.01,4.88,2017
2017-04-02,New York City,San Jose Earthquakes,2,1,H,1.77,3.73,4.33,2017
2017-04-02,Chicago Fire,CF Montreal,2,2,D,1.69,3.79,4.86,2017
2017-04-02,Columbus Crew,Orlando City,2,0,H,1.65,4.07,4.7,2017
2017-04-02,DC United,Philadelphia Union,2,1,H,2.16,3.31,3.34,2017
2017-04-02,Minnesota United,Real Salt Lake,4,2,H,2.69,3.55,2.43,2017
