Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2,Season
2021-04-17,Houston Dynamo,San Jose Earthquakes,2,1,H,1.82,3.98,4.02,2021
2021-04-17,Seattle Sounders,Minnesota United,4,0,H,1.78,3.96,4.22,2021
2021-04-18,CF Montreal,Toronto FC,4,2,H,2.96,3.58,2.33,2021
2021-04-18,Orlando City,Atlanta Utd,0,0,D,1.88,3.78,3.96,2021
2021-04-18,Los Angeles FC,Austin FC,2,0,H,1.39,5.13,7.55,2021
2021-04-18,New York Red Bulls,Sporting Kansas City,1,2,A,2.14,3.63,3.28,2021
2021-04-18,FC Dallas,Colorado Rapids,0,0,D,2.16,3.61,3.25,2021
2021-04-18,DC United,New York City,2,1,H,4.01,3.75,1.88,2021
2021-04-18,Nashville SC,FC Cincinnati,2,2,D,1.79,3.43,5.11,2021
2021-04-18,Chicago Fire,New England Revolution,2,2,D,2.47,3.58,2.75,2021
2021-04-19,Inter Miami,Los Angeles Galaxy,2,3,A,1.59,4.3,5.33,2021
2021-04-19,Columbus Crew,Philadelphia Union,0,0,D,1.86,3.75,4.05,2021
2021-04-19,Vancouver Whitecaps,Portland Timbers,1,0,H,4.53,3.97,1.73,2021
2021-04-24,Sporting Kansas City,Orlando City,1,1,D,2.05,3.75,3.42,2021
2021-04-25,New York City,FC Cincinnati,5,0,H,1.4,4.92,7.72,2021
2021-04-25,Nashville SC,CF Montreal,2,2,D,1.58,3.97,6.08,2021
2021-04-25,Toronto FC,Vancouver Whitecaps,2,2,D,1.84,3.89,4.04,2021
2021-04-25,San Jose Earthquakes,FC Dallas,3,1,H,2.2,3.55,3.22,2021
2021-04-25,Los Angeles FC,Seattle Sounders,1,1,D,1.8,4.03,4.1,2021
2021-04-25,Philadelphia Union,Inter Miami,1,2,A,2.07,3.65,3.43,2021
2021-04-25,New England Revolution,DC United,1,0,H,1.49,4.32,6.81,2021
2021-04-25,Minnesota United,Real Salt Lake,1,2,A,1.76,3.86,4.54,2021
2021-04-25,Atlanta Utd,Chicago Fire,3,1,H,2.02,3.69,3.52,2021
2021-04-25,Colorado Rapids,Austin FC,1,3,A,1.64,4.03,5.25,2021
2021-04-25,Portland Timbers,Houston Dynamo,2,1,H,2.11,3.62,3.37,2021
2021-04-26,Los Angeles Galaxy,New York Red Bulls,3,2,H,2.05,3.66,3.48,2021
2021-05-02,New York Red Bulls,Chicago Fire,2,0,H,2.06,3.89,3.29,2021
2021-05-02,Real Salt Lake,Sporting Kansas City,3,1,H,2.5,3.57,2.71,2021
2021-05-02,CF Montreal,Columbus Crew,0,0,D,3.07,3.62,2.24,2021
2021-05-02,Houston Dynamo,Los Angeles FC,1,1,D,2.84,3.91,2.29,2021
2021-05-02,New England Revolution,Atlanta Utd,2,1,H,1.82,3.73,4.31,2021
2021-05-02,Philadelphia Union,New York City,0,2,A,2.52,3.55,2.71,2021
2021-05-02,Orlando City,FC Cincinnati,3,0,H,1.47,4.51,6.87,2021
2021-05-02,Minnesota United,Austin FC,0,1,A,1.91,3.79,3.81,2021
2021-05-02,FC Dallas,Portland Timbers,4,1,H,1.86,4.02,3.79,2021
2021-05-02,San Jose Earthquakes,DC United,4,1,H,1.9,3.63,4.1,2021
2021-05-03,Nashville SC,Inter Miami,0,0,D,1.81,3.56,4.6,2021
2021-05-03,Seattle Sounders,Los Angeles Galaxy,3,0,H,1.47,4.74,6.38,2021
2021-05-03,Vancouver Whitecaps,Colorado Rapids,0,1,A,3.71,3.87,1.92,2021
2021-05-08,Real Salt Lake,San Jose Earthquakes,1,2,A,2.0,3.73,3.57,2021
2021-05-09,New York Red Bulls,Toronto FC,2,0,H,1.95,3.77,3.73,2021
2021-05-09,Chicago Fire,Philadelphia Union,0,2,A,2.25,3.64,3.04,2021
2021-05-09,Nashville SC,New England Revolution,2,0,H,2.27,3.42,3.22,2021
2021-05-09,Columbus Crew,DC United,3,1,H,1.67,3.93,5.19,2021
2021-05-09,Vancouver Whitecaps,CF Montreal,2,0,H,2.95,3.63,2.31,2021
2021-05-09,FC Dallas,Houston Dynamo,1,1,D,2.07,3.61,3.48,2021
2021-05-09,Orlando City,New York City,1,1,D,2.08,3.72,3.34,2021
2021-05-09,Los Angeles Galaxy,Los Angeles FC,2,1,H,3.89,4.26,1.79,2021
2021-05-09,Colorado Rapids,Minnesota United,3,2,H,1.69,4.23,4.49,2021
2021-05-10,Inter Miami,Atlanta Utd,1,1,D,1.92,3.54,4.13,2021
2021-05-10,Portland Timbers,Seattle Sounders,1,2,A,2.53,3.53,2.75,2021
2021-05-10,Sporting Kansas City,Austin FC,2,1,H,1.91,3.76,3.85,2021
2021-05-13,Toronto FC,Columbus Crew,2,0,H,2.4,3.5,2.89,2021
2021-05-13,Philadelphia Union,New England Revolution,1,1,D,2.11,3.68,3.28,2021
2021-05-13,Inter Miami,CF Montreal,0,2,A,1.65,4.18,4.91,2021
2021-05-13,Houston Dynamo,Sporting Kansas City,1,0,H,2.16,3.76,3.12,2021
2021-05-13,Minnesota United,Vancouver Whitecaps,1,0,H,1.56,4.41,5.49,2021
2021-05-13,San Jose Earthquakes,Seattle Sounders,0,1,A,2.57,3.5,2.68,2021
2021-05-14,DC United,Chicago Fire,1,0,H,2.32,3.59,2.95,2021
2021-05-16,New York City,Toronto FC,1,1,D,1.66,4.09,4.93,2021
2021-05-16,Los Angeles Galaxy,Austin FC,2,0,H,2.08,3.83,3.23,2021
2021-05-16,Atlanta Utd,CF Montreal,1,0,H,1.69,4.03,4.79,2021
2021-05-16,Philadelphia Union,New York Red Bulls,1,0,H,2.18,3.45,3.33,2021
2021-05-16,Minnesota United,FC Dallas,1,0,H,2.05,3.68,3.46,2021
2021-05-16,Colorado Rapids,Houston Dynamo,3,1,H,1.55,4.41,5.68,2021
2021-05-16,Real Salt Lake,Nashville SC,0,0,D,2.64,3.17,2.81,2021
2021-05-16,San Jose Earthquakes,Portland Timbers,0,2,A,2.07,3.73,3.37,2021
2021-05-17,Sporting Kansas City,Vancouver Whitecaps,3,0,H,1.44,4.7,7.0,2021
2021-05-17,FC Cincinnati,Inter Miami,2,3,A,2.62,3.32,2.74,2021
2021-05-17,New England Revolution,Columbus Crew,1,0,H,1.68,4.07,4.88,2021
2021-05-17,DC United,Orlando City,0,1,A,3.21,3.44,2.25,2021
2021-05-17,Seattle Sounders,Los Angeles FC,2,0,H,2.4,3.58,2.85,2021
2021-05-23,CF Montreal,FC Cincinnati,1,2,A,1.96,3.64,3.82,2021
2021-05-23,Portland Timbers,Los Angeles Galaxy,3,0,H,1.92,3.95,3.64,2021
2021-05-23,Chicago Fire,Inter Miami,1,0,H,2.3,3.59,3.0,2021
2021-05-23,Orlando City,Toronto FC,1,0,H,2.23,3.38,3.3,2021
2021-05-23,New York City,Columbus Crew,1,2,A,1.86,3.68,4.21,2021
2021-05-23,New England Revolution,New York Red Bulls,3,1,H,1.7,3.93,4.82,2021
2021-05-23,FC Dallas,Real Salt Lake,2,2,D,1.99,3.58,3.78,2021
2021-05-23,Houston Dynamo,Vancouver Whitecaps,2,1,H,1.57,4.09,5.97,2021
