Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2,Season
2018-03-04,Toronto FC,Columbus Crew,0,2,A,1.53,4.15,5.98,2018
2018-03-04,Houston Dynamo,Atlanta Utd,4,0,H,2.46,3.46,2.72,2018
2018-03-04,Philadelphia Union,New England Revolution,2,0,H,1.91,3.57,3.9,2018
2018-03-04,Orlando City,DC United,1,1,D,2.23,3.4,3.13,2018
2018-03-04,FC Dallas,Real Salt Lake,1,1,D,1.67,3.88,4.8,2018
2018-03-04,San Jose Earthquakes,Minnesota United,3,2,H,1.57,4.08,5.58,2018
2018-03-05,Seattle Sounders,Los Angeles FC,0,1,A,1.66,3.95,4.82,2018
2018-03-05,Vancouver Whitecaps,CF Montreal,2,1,H,1.81,3.64,4.24,2018
2018-03-05,Sporting Kansas City,New York City,0,2,A,2.06,3.36,3.58,2018
2018-03-05,Los Angeles Galaxy,Portland Timbers,2,1,H,2.07,3.48,3.42,2018
2018-03-11,Columbus Crew,CF Montreal,3,2,H,1.54,4.26,5.63,2018
2018-03-11,New England Revolution,Colorado Rapids,2,1,H,1.76,3.72,4.44,2018
2018-03-11,Real Salt Lake,Los Angeles FC,1,5,A,1.77,3.87,4.22,2018
2018-03-11,Houston Dynamo,Vancouver Whitecaps,1,2,A,1.61,3.98,5.27,2018
2018-03-11,Chicago Fire,Sporting Kansas City,3,4,A,2.55,3.22,2.78,2018
2018-03-11,New York Red Bulls,Portland Timbers,4,0,H,2.34,3.41,2.93,2018
2018-03-11,Orlando City,Minnesota United,1,2,A,1.7,3.92,4.61,2018
2018-03-12,Atlanta Utd,DC United,3,1,H,1.51,4.21,6.09,2018
2018-03-12,New York City,Los Angeles Galaxy,2,1,H,1.49,4.31,6.3,2018
2018-03-18,DC United,Houston Dynamo,2,2,D,2.24,3.35,3.17,2018
2018-03-18,Philadelphia Union,Columbus Crew,0,0,D,2.24,3.49,3.03,2018
2018-03-18,Minnesota United,Chicago Fire,2,1,H,2.43,3.54,2.69,2018
2018-03-18,CF Montreal,Toronto FC,1,0,H,2.8,3.45,2.39,2018
2018-03-18,New York City,Orlando City,2,0,H,1.54,4.28,5.62,2018
2018-03-18,Atlanta Utd,Vancouver Whitecaps,4,1,H,1.47,4.51,6.23,2018
2018-03-18,Sporting Kansas City,San Jose Earthquakes,3,2,H,1.44,4.35,7.08,2018
2018-03-18,Real Salt Lake,New York Red Bulls,1,0,H,2.08,3.65,3.21,2018
2018-03-19,FC Dallas,Seattle Sounders,3,0,H,1.82,3.58,4.24,2018
2018-03-25,New England Revolution,New York City,2,2,D,2.24,3.46,3.04,2018
2018-03-25,FC Dallas,Portland Timbers,1,1,D,1.6,4.02,5.26,2018
