Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2016-03-07,New York Red Bulls,Toronto FC,0,2,A,1.73,4.7,2016
2016-03-07,Orlando City,Real Salt Lake,2,2,D,2.31,3.08,2016
2016-03-07,Chicago Fire,New York City,3,4,A,1.94,3.83,2016
2016-03-07,San Jose Earthquakes,Colorado Rapids,1,0,H,1.9,4.41,2016
2016-03-07,Houston Dynamo,New England Revolution,3,3,D,2.31,3.14,2016
2016-03-07,FC Dallas,Philadelphia Union,2,0,H,1.57,6.05,2016
2016-03-07,Portland Timbers,Columbus Crew,2,1,H,1.86,4.06,2016
2016-03-07,Vancouver Whitecaps,CF Montreal,2,3,A,1.81,4.49,2016
2016-03-07,Seattle Sounders,Sporting Kansas City,0,1,A,1.85,4.34,2016
2016-03-07,Los Angeles Galaxy,DC United,4,1,H,1.33,9.05,2016
2016-03-12,Orlando City,Chicago Fire,1,1,D,1.95,3.72,2016
2016-03-13,New England Revolution,DC United,0,0,D,1.48,6.76,2016
2016-03-13,Real Salt Lake,Seattle Sounders,2,1,H,2.11,3.54,2016
2016-03-13,CF Montreal,New York Red Bulls,3,0,H,2.46,2.8,2016
2016-03-13,Colorado Rapids,Los Angeles Galaxy,1,0,H,2.65,2.63,2016
2016-03-13,Columbus Crew,Philadelphia Union,1,2,A,1.45,6.84,2016
2016-03-13,Sporting Kansas City,Vancouver Whitecaps,2,1,H,2.13,3.43,2016
2016-03-13,Houston Dynamo,FC Dallas,5,0,H,3.16,2.28,2016
2016-03-14,New York City,Toronto FC,2,2,D,2.58,2.53,2016
2016-03-14,San Jose Earthquakes,Portland Timbers,2,1,H,2.51,2.83,2016
2016-03-19,New York City,Orlando City,0,1,A,1.84,3.92,2016
2016-03-20,Chicago Fire,Columbus Crew,0,0,D,2.88,2.4,2016
2016-03-20,New York Red Bulls,Houston Dynamo,4,3,H,1.57,5.74,2016
2016-03-20,FC Dallas,CF Montreal,2,0,H,1.71,4.88,2016
2016-03-20,Seattle Sounders,Vancouver Whitecaps,1,2,A,2.24,3.31,2016
2016-03-20,Portland Timbers,Real Salt Lake,2,2,D,1.68,5.19,2016
2016-03-20,Los Angeles Galaxy,San Jose Earthquakes,3,1,H,1.58,5.35,2016
2016-03-21,Philadelphia Union,New England Revolution,3,0,H,2.5,2.75,2016
2016-03-21,DC United,Colorado Rapids,1,1,D,2.28,3.23,2016
2016-03-21,Sporting Kansas City,Toronto FC,1,0,H,2.05,3.53,2016
2016-03-27,New York City,New England Revolution,1,1,D,2.18,3.18,2016
2016-03-27,DC United,FC Dallas,0,3,A,3.0,2.32,2016
2016-03-27,Vancouver Whitecaps,Houston Dynamo,1,0,H,1.88,4.04,2016
2016-04-02,New England Revolution,New York Red Bulls,1,0,H,1.93,3.77,2016
2016-04-03,Chicago Fire,Philadelphia Union,1,0,H,2.09,3.52,2016
2016-04-03,Colorado Rapids,Toronto FC,1,0,H,2.24,3.2,2016
2016-04-03,Sporting Kansas City,Real Salt Lake,1,2,A,1.57,5.77,2016
2016-04-03,FC Dallas,Columbus Crew,1,1,D,1.99,3.65,2016
2016-04-03,Vancouver Whitecaps,Los Angeles Galaxy,0,0,D,2.12,3.52,2016
2016-04-03,Seattle Sounders,CF Montreal,1,0,H,1.84,4.46,2016
2016-04-03,San Jose Earthquakes,DC United,1,1,D,1.71,4.94,2016
2016-04-04,Orlando City,Portland Timbers,4,1,H,2.35,2.95,2016
2016-04-09,Philadelphia Union,Orlando City,2,1,H,2.09,3.49,2016
2016-04-10,New England Revolution,Toronto FC,1,1,D,1.98,3.81,2016
2016-04-10,CF Montreal,Columbus Crew,2,0,H,2.32,3.02,2016
2016-04-10,DC United,Vancouver Whitecaps,4,0,H,2.25,3.24,2016
2016-04-10,New York Red Bulls,Sporting Kansas City,0,2,A,1.73,4.79,2016
2016-04-10,FC Dallas,San Jose Earthquakes,2,2,D,1.66,5.22,2016
2016-04-10,Real Salt Lake,Colorado Rapids,1,0,H,1.89,4.15,2016
2016-04-11,Houston Dynamo,Seattle Sounders,1,1,D,2.19,3.34,2016
2016-04-11,New York City,Chicago Fire,0,0,D,1.87,3.84,2016
2016-04-11,Los Angeles Galaxy,Portland Timbers,1,1,D,1.95,3.7,2016
2016-04-14,Sporting Kansas City,Colorado Rapids,1,2,A,2.11,3.59,2016
2016-04-14,San Jose Earthquakes,New York Red Bulls,2,0,H,1.96,3.91,2016
2016-04-14,Portland Timbers,FC Dallas,1,3,A,2.05,3.62,2016
2016-04-16,Houston Dynamo,Los Angeles Galaxy,1,4,A,2.28,3.09,2016
2016-04-17,DC United,Toronto FC,0,1,A,2.55,2.76,2016
2016-04-17,Chicago Fire,CF Montreal,1,2,A,2.66,2.69,2016
2016-04-17,Columbus Crew,New York City,3,2,H,1.62,5.26,2016
2016-04-17,Colorado Rapids,New York Red Bulls,2,1,H,2.29,3.14,2016
2016-04-17,Seattle Sounders,Philadelphia Union,2,1,H,1.71,5.06,2016
2016-04-17,Real Salt Lake,Vancouver Whitecaps,1,0,H,1.98,3.83,2016
2016-04-17,Portland Timbers,San Jose Earthquakes,3,1,H,1.79,4.61,2016
2016-04-18,Orlando City,New England Revolution,2,2,D,2.17,3.3,2016
2016-04-18,FC Dallas,Sporting Kansas City,2,1,H,1.77,4.57,2016
2016-04-24,Philadelphia Union,New York City,2,0,H,1.81,4.25,2016
2016-04-24,CF Montreal,Toronto FC,0,2,A,1.92,4.03,2016
2016-04-24,DC United,New England Revolution,3,0,H,2.71,2.64,2016
2016-04-24,Columbus Crew,Houston Dynamo,1,0,H,1.65,5.0,2016
2016-04-24,Colorado Rapids,Seattle Sounders,3,1,H,2.07,3.73,2016
2016-04-24,Vancouver Whitecaps,FC Dallas,3,0,H,2.31,3.08,2016
2016-04-24,Los Angeles Galaxy,Real Salt Lake,5,2,H,1.69,4.88,2016
2016-04-25,San Jose Earthquakes,Sporting Kansas City,1,0,H,1.99,3.89,2016
2016-04-25,New York Red Bulls,Orlando City,3,2,H,1.54,5.64,2016
2016-04-28,New York City,CF Montreal,1,1,D,2.32,2.98,2016
2016-04-28,New England Revolution,Portland Timbers,1,1,D,1.88,4.11,2016
2016-04-28,Vancouver Whitecaps,Sporting Kansas City,1,1,D,1.91,4.06,2016
2016-04-30,New York Red Bulls,FC Dallas,4,0,H,1.92,3.7,2016
2016-05-01,Seattle Sounders,Columbus Crew,1,0,H,2.22,3.27,2016
2016-05-01,Philadelphia Union,San Jose Earthquakes,1,1,D,2.03,3.74,2016
2016-05-01,New York City,Vancouver Whitecaps,3,2,H,1.89,4.01,2016
2016-05-01,CF Montreal,Colorado Rapids,2,2,D,1.89,4.22,2016
2016-05-01,Chicago Fire,DC United,1,1,D,2.07,3.54,2016
2016-05-01,New England Revolution,Orlando City,2,2,D,1.73,4.62,2016
2016-05-01,Real Salt Lake,Houston Dynamo,2,1,H,1.77,4.51,2016
2016-05-02,Portland Timbers,Toronto FC,2,1,H,2.04,3.53,2016
2016-05-02,Sporting Kansas City,Los Angeles Galaxy,1,1,D,2.06,3.52,2016
2016-05-07,Orlando City,New York Red Bulls,1,1,D,2.46,2.77,2016
2016-05-08,Vancouver Whitecaps,Portland Timbers,2,1,H,2.08,3.46,2016
2016-05-08,Toronto FC,FC Dallas,1,0,H,1.72,4.74,2016
2016-05-08,Columbus Crew,CF Montreal,4,4,D,1.83,4.24,2016
2016-05-08,Houston Dynamo,Sporting Kansas City,2,0,H,2.53,2.77,2016
2016-05-08,Colorado Rapids,Real Salt Lake,1,0,H,1.99,3.79,2016
2016-05-08,Seattle Sounders,San Jose Earthquakes,2,0,H,1.77,4.81,2016
2016-05-09,Los Angeles Galaxy,New England Revolution,4,2,H,1.68,4.9,2016
2016-05-09,DC United,New York City,0,2,A,1.99,3.61,2016
2016-05-12,Philadelphia Union,Los Angeles Galaxy,2,2,D,2.51,2.76,2016
2016-05-12,FC Dallas,Portland Timbers,2,1,H,1.7,4.62,2016
2016-05-12,Colorado Rapids,Sporting Kansas City,1,0,H,1.92,4.07,2016
2016-05-12,Vancouver Whitecaps,Chicago Fire,2,1,H,1.61,5.65,2016
2016-05-12,San Jose Earthquakes,Houston Dynamo,3,1,H,1.83,4.34,2016
2016-05-14,DC United,New York Red Bulls,2,0,H,3.14,2.24,2016
2016-05-15,CF Montreal,Philadelphia Union,1,1,D,1.68,5.12,2016
2016-05-15,Toronto FC,Vancouver Whitecaps,3,4,A,1.47,7.29,2016
2016-05-15,New England Revolution,Chicago Fire,2,0,H,1.63,5.44,2016
2016-05-15,Columbus Crew,Colorado Rapids,1,1,D,1.92,4.03,2016
2016-05-15,FC Dallas,Seattle Sounders,2,0,H,1.74,4.82,2016
2016-05-16,Houston Dynamo,Real Salt Lake,1,0,H,2.23,3.19,2016
2016-05-16,Sporting Kansas City,Orlando City,2,1,H,1.74,4.65,2016
2016-05-16,Portland Timbers,New York City,1,2,A,1.59,5.23,2016
2016-05-19,Toronto FC,New York City,1,1,D,1.42,6.98,2016
2016-05-19,New York Red Bulls,Chicago Fire,1,0,H,1.41,7.18,2016
2016-05-21,Philadelphia Union,DC United,1,0,H,1.97,3.82,2016
2016-05-22,New York City,New York Red Bulls,0,7,A,2.62,2.55,2016
2016-05-22,Toronto FC,Columbus Crew,0,0,D,1.96,3.78,2016
2016-05-22,Chicago Fire,Houston Dynamo,1,0,H,2.09,3.49,2016
2016-05-22,Orlando City,CF Montreal,2,1,H,2.09,3.39,2016
2016-05-22,New England Revolution,FC Dallas,2,4,A,1.75,4.5,2016
2016-05-22,Sporting Kansas City,Real Salt Lake,1,3,A,1.66,5.41,2016
2016-05-22,Seattle Sounders,Colorado Rapids,0,1,A,2.02,3.77,2016
2016-05-23,Portland Timbers,Vancouver Whitecaps,4,2,H,2.09,3.42,2016
2016-05-23,Los Angeles Galaxy,San Jose Earthquakes,1,1,D,1.69,4.82,2016
2016-05-26,Orlando City,Philadelphia Union,2,2,D,2.15,3.32,2016
2016-05-28,Sporting Kansas City,DC United,0,1,A,1.68,5.2,2016
2016-05-29,Vancouver Whitecaps,Houston Dynamo,1,1,D,1.75,4.55,2016
2016-05-29,New York Red Bulls,Toronto FC,3,0,H,1.74,4.51,2016
2016-05-29,New England Revolution,Seattle Sounders,2,1,H,1.76,4.66,2016
2016-05-29,Columbus Crew,Real Salt Lake,4,3,H,1.76,4.5,2016
2016-05-29,CF Montreal,Los Angeles Galaxy,3,2,H,2.51,2.77,2016
2016-05-29,Chicago Fire,Portland Timbers,1,1,D,2.09,3.49,2016
2016-05-29,Colorado Rapids,Philadelphia Union,1,1,D,2.07,3.72,2016
2016-05-29,San Jose Earthquakes,FC Dallas,0,0,D,2.37,3.11,2016
2016-05-30,New York City,Orlando City,2,2,D,1.74,4.39,2016
2016-06-02,Philadelphia Union,Columbus Crew,3,2,H,2.25,3.06,2016
2016-06-02,DC United,Seattle Sounders,0,2,A,2.01,3.7,2016
2016-06-02,Portland Timbers,San Jose Earthquakes,1,0,H,1.82,4.38,2016
2016-06-03,New York City,Real Salt Lake,2,3,A,1.94,3.64,2016
2016-06-03,FC Dallas,Houston Dynamo,1,1,D,1.62,5.34,2016
2016-06-03,Los Angeles Galaxy,Sporting Kansas City,0,0,D,1.85,4.14,2016
2016-06-19,New York City,Philadelphia Union,3,2,H,2.1,3.35,2016
2016-06-19,Vancouver Whitecaps,New England Revolution,1,2,A,2.14,3.28,2016
2016-06-19,Toronto FC,Los Angeles Galaxy,1,0,H,1.88,4.15,2016
2016-06-19,Orlando City,San Jose Earthquakes,2,2,D,2.15,3.49,2016
2016-06-19,Columbus Crew,CF Montreal,0,0,D,1.81,4.31,2016
2016-06-19,Houston Dynamo,DC United,0,0,D,1.98,3.83,2016
2016-06-19,Colorado Rapids,Chicago Fire,2,1,H,1.74,4.96,2016
2016-06-19,Real Salt Lake,Portland Timbers,2,2,D,2.03,3.59,2016
2016-06-20,Sporting Kansas City,FC Dallas,2,0,H,2.19,3.36,2016
2016-06-20,New York Red Bulls,Seattle Sounders,2,0,H,1.55,5.8,2016
2016-06-23,Philadelphia Union,Chicago Fire,4,3,H,1.83,4.29,2016
2016-06-23,Real Salt Lake,New York Red Bulls,2,1,H,2.3,3.02,2016
2016-06-23,Los Angeles Galaxy,Colorado Rapids,0,0,D,1.92,3.95,2016
2016-06-26,Seattle Sounders,New York City,0,2,A,1.64,5.23,2016
2016-06-26,Philadelphia Union,Vancouver Whitecaps,2,3,A,1.9,3.87,2016
2016-06-26,DC United,New England Revolution,2,0,H,2.86,2.51,2016
2016-06-26,Orlando City,Toronto FC,3,2,H,2.29,3.16,2016
2016-06-26,Columbus Crew,New York Red Bulls,1,1,D,2.3,2.99,2016
2016-06-26,CF Montreal,Sporting Kansas City,2,2,D,2.0,3.89,2016
2016-06-26,FC Dallas,Real Salt Lake,2,0,H,1.32,9.55,2016
2016-06-26,San Jose Earthquakes,Los Angeles Galaxy,1,1,D,2.27,3.22,2016
2016-06-27,Portland Timbers,Houston Dynamo,3,2,H,1.89,3.88,2016
2016-07-02,Chicago Fire,San Jose Earthquakes,1,0,H,2.2,3.3,2016
2016-07-02,Real Salt Lake,DC United,1,1,D,1.89,4.15,2016
2016-07-03,CF Montreal,New England Revolution,3,2,H,2.37,3.0,2016
2016-07-03,Toronto FC,Seattle Sounders,1,1,D,2.04,3.8,2016
2016-07-03,Houston Dynamo,Philadelphia Union,1,0,H,1.77,4.53,2016
2016-07-04,New York City,New York Red Bulls,2,0,H,2.73,2.46,2016
2016-07-04,Sporting Kansas City,Columbus Crew,3,2,H,2.13,3.38,2016
2016-07-05,FC Dallas,Orlando City,4,0,H,1.52,5.65,2016
2016-07-05,Colorado Rapids,Portland Timbers,0,0,D,1.64,5.35,2016
2016-07-05,Los Angeles Galaxy,Vancouver Whitecaps,2,0,H,1.57,5.47,2016
2016-07-07,New England Revolution,New York City,0,1,A,1.98,3.47,2016
2016-07-09,Orlando City,Houston Dynamo,0,0,D,2.45,2.76,2016
2016-07-09,San Jose Earthquakes,FC Dallas,0,1,A,2.34,3.14,2016
2016-07-10,Seattle Sounders,Los Angeles Galaxy,0,1,A,2.16,3.31,2016
2016-07-10,Philadelphia Union,DC United,3,0,H,1.85,4.22,2016
2016-07-10,Toronto FC,Chicago Fire,1,0,H,1.87,4.03,2016
2016-07-10,New England Revolution,Columbus Crew,3,1,H,1.98,3.6,2016
2016-07-10,Vancouver Whitecaps,Colorado Rapids,2,2,D,2.13,3.53,2016
2016-07-10,Real Salt Lake,CF Montreal,1,1,D,2.01,3.62,2016
2016-07-11,New York Red Bulls,Portland Timbers,0,0,D,1.53,5.88,2016
2016-07-11,Sporting Kansas City,New York City,3,1,H,1.99,3.6,2016
2016-07-14,Columbus Crew,Toronto FC,1,1,D,1.62,5.41,2016
2016-07-14,New York Red Bulls,Orlando City,2,0,H,1.41,7.18,2016
2016-07-14,Chicago Fire,Sporting Kansas City,1,0,H,2.4,3.03,2016
2016-07-14,Vancouver Whitecaps,Real Salt Lake,2,0,H,1.58,5.65,2016
2016-07-14,Seattle Sounders,FC Dallas,5,0,H,1.97,3.85,2016
2016-07-14,Portland Timbers,CF Montreal,1,1,D,1.84,4.31,2016
2016-07-16,Los Angeles Galaxy,Houston Dynamo,1,0,H,1.58,5.76,2016
2016-07-17,Columbus Crew,DC United,1,1,D,1.69,4.99,2016
2016-07-17,FC Dallas,Chicago Fire,3,1,H,1.5,6.42,2016
2016-07-17,Colorado Rapids,Sporting Kansas City,1,0,H,2.09,3.61,2016
2016-07-17,Vancouver Whitecaps,Orlando City,2,2,D,1.45,6.88,2016
2016-07-17,Real Salt Lake,New England Revolution,0,0,D,1.95,3.75,2016
2016-07-17,San Jose Earthquakes,Toronto FC,2,1,H,2.1,3.59,2016
2016-07-18,Portland Timbers,Seattle Sounders,3,1,H,2.01,3.85,2016
2016-07-18,CF Montreal,New York City,1,3,A,2.24,3.09,2016
2016-07-18,Philadelphia Union,New York Red Bulls,2,2,D,2.63,2.67,2016
2016-07-23,Real Salt Lake,San Jose Earthquakes,1,1,D,1.96,3.97,2016
2016-07-24,Portland Timbers,Los Angeles Galaxy,1,2,A,2.23,3.15,2016
2016-07-24,Toronto FC,DC United,4,1,H,1.75,4.96,2016
