Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2023-10-06,Minnesota Timberwolves,Dallas Mavericks,111,99,H,1.9,1.86,2023
2023-10-08,Dallas Mavericks,Minnesota Timberwolves,96,104,A,2.28,1.61,2023
2023-10-08,Golden State Warriors,Los Angeles Lakers,125,108,H,1.57,2.36,2023
2023-10-09,Milwaukee Bucks,Chicago Bulls,105,102,H,2.12,1.7,2023
2023-10-09,Detroit Pistons,Phoenix Suns,126,130,A,2.61,1.48,2023
2023-10-09,Boston Celtics,Philadelphia 76ers,114,106,H,1.36,3.11,2023
2023-10-09,Toronto Raptors,Sacramento Kings,112,99,H,1.86,1.91,2023
2023-10-09,Memphis Grizzlies,Indiana Pacers,127,122,H,1.56,2.42,2023
2023-10-09,Los Angeles Clippers,Utah Jazz,96,101,A,1.7,2.12,2023
2023-10-10,New York Knicks,Boston Celtics,114,107,H,1.3,3.42,2023
2023-10-10,Oklahoma City Thunder,San Antonio Spurs,122,121,H,1.51,2.53,2023
2023-10-10,Los Angeles Lakers,Brooklyn Nets,129,126,H,1.47,2.63,2023
2023-10-11,Miami Heat,Charlotte Hornets,113,109,H,1.68,2.14,2023
2023-10-11,Atlanta Hawks,Cleveland Cavaliers,108,107,H,1.78,2.0,2023
2023-10-11,New Orleans Pelicans,Orlando Magic,105,122,A,1.54,2.43,2023
2023-10-11,Memphis Grizzlies,Milwaukee Bucks,108,102,H,1.58,2.34,2023
2023-10-11,Houston Rockets,Indiana Pacers,122,103,H,1.61,2.28,2023
2023-10-11,Phoenix Suns,Denver Nuggets,107,115,A,2.32,1.59,2023
2023-10-11,Los Angeles Clippers,Utah Jazz,103,98,H,1.59,2.31,2023
2023-10-12,Philadelphia 76ers,Boston Celtics,101,112,A,2.28,1.61,2023
2023-10-12,Los Angeles Lakers,Sacramento Kings,109,101,H,2.51,1.51,2023
2023-10-13,Washington Wizards,Charlotte Hornets,98,92,H,1.66,2.17,2023
2023-10-13,Oklahoma City Thunder,Detroit Pistons,125,128,A,1.38,3.02,2023
2023-10-13,Cleveland Cavaliers,Orlando Magic,105,108,A,1.7,2.11,2023
2023-10-13,Atlanta Hawks,Memphis Grizzlies,103,102,H,1.6,2.3,2023
2023-10-13,New Orleans Pelicans,Houston Rockets,87,120,A,1.65,2.21,2023
2023-10-13,Chicago Bulls,Denver Nuggets,133,124,H,1.74,2.05,2023
2023-10-13,Portland Trail Blazers,Phoenix Suns,111,122,A,2.58,1.49,2023
2023-10-14,San Antonio Spurs,Miami Heat,120,104,H,1.31,3.35,2023
2023-10-14,Los Angeles Lakers,Golden State Warriors,125,129,A,1.69,2.14,2023
2023-10-15,Atlanta Hawks,New Orleans Pelicans,110,105,H,1.88,1.91,2023
2023-10-15,New York Knicks,Minnesota Timberwolves,112,121,A,1.58,2.38,2023
2023-10-15,Utah Jazz,Portland Trail Blazers,138,133,H,1.47,2.64,2023
2023-10-16,Charlotte Hornets,Oklahoma City Thunder,117,115,H,1.55,2.4,2023
2023-10-16,Miami Heat,Memphis Grizzlies,132,124,H,1.92,1.84,2023
2023-10-16,Los Angeles Lakers,Milwaukee Bucks,97,108,A,2.5,1.52,2023
2023-10-16,Denver Nuggets,Chicago Bulls,116,102,H,1.34,3.15,2023
2023-10-16,Sacramento Kings,Golden State Warriors,115,121,A,1.4,2.88,2023
2023-10-17,Indiana Pacers,Atlanta Hawks,116,112,H,1.44,2.74,2023
2023-10-17,Brooklyn Nets,Philadelphia 76ers,119,127,A,1.8,1.98,2023
2023-10-17,San Antonio Spurs,Houston Rockets,89,99,A,2.8,1.42,2023
2023-10-17,Phoenix Suns,Portland Trail Blazers,117,106,H,1.29,3.5,2023
2023-10-18,Orlando Magic,New Orleans Pelicans,92,104,A,1.77,2.02,2023
2023-10-18,Boston Celtics,New York Knicks,123,110,H,1.26,3.76,2023
2023-10-18,Oklahoma City Thunder,Milwaukee Bucks,124,101,H,1.75,2.05,2023
2023-10-18,Chicago Bulls,Toronto Raptors,102,106,A,1.61,2.29,2023
2023-10-18,Los Angeles Clippers,Denver Nuggets,116,103,H,1.34,3.21,2023
2023-10-19,New York Knicks,Washington Wizards,106,131,A,1.34,3.16,2023
2023-10-19,Miami Heat,Brooklyn Nets,104,107,A,2.0,1.79,2023
2023-10-19,San Antonio Spurs,Houston Rockets,117,103,H,1.5,2.56,2023
2023-10-19,Golden State Warriors,Sacramento Kings,116,115,H,1.4,2.93,2023
2023-10-20,Charlotte Hornets,Boston Celtics,99,127,A,3.0,1.37,2023
2023-10-20,Oklahoma City Thunder,Detroit Pistons,116,118,A,1.58,2.35,2023
2023-10-20,Chicago Bulls,Minnesota Timberwolves,105,114,A,1.9,1.86,2023
2023-10-20,Sacramento Kings,Utah Jazz,116,113,H,2.23,1.63,2023
2023-10-20,Los Angeles Lakers,Phoenix Suns,100,123,A,1.67,2.16,2023
2023-10-20,Los Angeles Clippers,Denver Nuggets,90,103,A,2.64,1.46,2023
2023-10-21,Philadelphia 76ers,Atlanta Hawks,120,106,H,1.78,2.01,2023
2023-10-21,Indiana Pacers,Cleveland Cavaliers,109,104,H,1.86,1.91,2023
2023-10-21,Toronto Raptors,Washington Wizards,134,98,H,1.35,3.11,2023
2023-10-21,Milwaukee Bucks,Memphis Grizzlies,124,116,H,1.43,2.77,2023
2023-10-21,Houston Rockets,Miami Heat,110,104,H,1.59,2.34,2023
2023-10-21,Dallas Mavericks,Detroit Pistons,114,104,H,1.47,2.65,2023
2023-10-21,Golden State Warriors,San Antonio Spurs,117,122,A,1.41,2.84,2023
2023-10-25,Denver Nuggets,Los Angeles Lakers,119,107,H,1.53,2.61,2023
2023-10-25,Golden State Warriors,Phoenix Suns,104,108,A,1.68,2.26,2023
2023-10-26,Orlando Magic,Houston Rockets,116,86,H,1.55,2.54,2023
2023-10-26,New York Knicks,Boston Celtics,104,108,A,2.47,1.58,2023
2023-10-26,Indiana Pacers,Washington Wizards,143,120,H,1.53,2.59,2023
2023-10-26,Charlotte Hornets,Atlanta Hawks,116,110,H,2.5,1.57,2023
2023-10-26,Toronto Raptors,Minnesota Timberwolves,97,94,H,1.88,1.98,2023
2023-10-26,Miami Heat,Detroit Pistons,103,102,H,1.23,4.4,2023
2023-10-26,Brooklyn Nets,Cleveland Cavaliers,113,114,A,2.04,1.82,2023
2023-10-26,Memphis Grizzlies,New Orleans Pelicans,104,111,A,1.85,2.0,2023
2023-10-26,Chicago Bulls,Oklahoma City Thunder,104,124,A,1.7,2.22,2023
2023-10-26,Utah Jazz,Sacramento Kings,114,130,A,2.05,1.82,2023
2023-10-26,San Antonio Spurs,Dallas Mavericks,119,126,A,2.59,1.53,2023
2023-10-26,Los Angeles Clippers,Portland Trail Blazers,123,111,H,1.23,4.37,2023
2023-10-27,Milwaukee Bucks,Philadelphia 76ers,118,117,H,1.41,3.02,2023
2023-10-27,Los Angeles Lakers,Phoenix Suns,100,95,H,1.41,3.02,2023
2023-10-28,Memphis Grizzlies,Denver Nuggets,104,108,A,2.8,1.46,2023
2023-10-28,Charlotte Hornets,Detroit Pistons,99,111,A,1.55,2.54,2023
2023-10-28,Cleveland Cavaliers,Oklahoma City Thunder,105,108,A,1.71,2.21,2023
2023-10-28,Boston Celtics,Miami Heat,119,111,H,1.27,3.92,2023
2023-10-28,Atlanta Hawks,New York Knicks,120,126,A,1.96,1.9,2023
2023-10-28,San Antonio Spurs,Houston Rockets,126,122,H,1.67,2.3,2023
2023-10-28,Chicago Bulls,Toronto Raptors,104,103,H,1.75,2.15,2023
2023-10-28,Dallas Mavericks,Brooklyn Nets,125,120,H,1.43,2.93,2023
2023-10-28,Utah Jazz,Los Angeles Clippers,120,118,H,2.49,1.57,2023
2023-10-28,Sacramento Kings,Golden State Warriors,114,122,A,1.66,2.3,2023
2023-10-28,Portland Trail Blazers,Orlando Magic,97,102,A,2.41,1.61,2023
2023-10-29,Washington Wizards,Memphis Grizzlies,113,106,H,1.95,1.9,2023
2023-10-29,New Orleans Pelicans,New York Knicks,96,87,H,1.7,2.22,2023
2023-10-29,Detroit Pistons,Chicago Bulls,118,102,H,2.19,1.71,2023
2023-10-29,Toronto Raptors,Philadelphia 76ers,107,114,A,2.62,1.52,2023
2023-10-29,Cleveland Cavaliers,Indiana Pacers,113,125,A,2.43,1.6,2023
2023-10-29,Minnesota Timberwolves,Miami Heat,106,90,H,1.3,3.58,2023
2023-10-29,Phoenix Suns,Utah Jazz,126,104,H,1.47,2.77,2023
2023-10-30,Oklahoma City Thunder,Denver Nuggets,95,128,A,2.35,1.63,2023
2023-10-30,Milwaukee Bucks,Atlanta Hawks,110,127,A,1.4,3.06,2023
2023-10-30,Houston Rockets,Golden State Warriors,95,106,A,3.17,1.36,2023
2023-10-30,Philadelphia 76ers,Portland Trail Blazers,126,98,H,1.24,4.27,2023
2023-10-30,Sacramento Kings,Los Angeles Lakers,132,127,H,1.75,2.13,2023
2023-10-30,Los Angeles Clippers,San Antonio Spurs,123,83,H,1.25,4.11,2023
2023-10-31,Washington Wizards,Boston Celtics,107,126,A,4.78,1.2,2023
2023-10-31,Indiana Pacers,Chicago Bulls,105,112,A,1.67,2.29,2023
2023-10-31,Charlotte Hornets,Brooklyn Nets,121,133,A,2.08,1.79,2023
2023-10-31,Toronto Raptors,Portland Trail Blazers,91,99,A,1.21,4.59,2023
2023-10-31,Atlanta Hawks,Minnesota Timberwolves,127,113,H,2.15,1.74,2023
2023-10-31,Oklahoma City Thunder,Detroit Pistons,124,112,H,1.39,3.09,2023
2023-10-31,New Orleans Pelicans,Golden State Warriors,102,130,A,1.7,2.22,2023
2023-10-31,Milwaukee Bucks,Miami Heat,122,114,H,1.33,3.44,2023
2023-10-31,Memphis Grizzlies,Dallas Mavericks,110,125,A,1.88,1.97,2023
2023-10-31,Denver Nuggets,Utah Jazz,110,102,H,1.26,4.0,2023
2023-10-31,Los Angeles Lakers,Orlando Magic,106,103,H,1.6,2.41,2023
2023-11-01,Cleveland Cavaliers,New York Knicks,91,109,A,2.11,1.77,2023
2023-11-01,Phoenix Suns,San Antonio Spurs,114,115,A,1.36,3.26,2023
2023-11-01,Los Angeles Clippers,Orlando Magic,118,102,H,1.41,3.04,2023
2023-11-02,Toronto Raptors,Milwaukee Bucks,130,111,H,2.52,1.55,2023
2023-11-02,Detroit Pistons,Portland Trail Blazers,101,110,A,1.63,2.34,2023
2023-11-02,Oklahoma City Thunder,New Orleans Pelicans,106,110,A,1.64,2.33,2023
2023-11-02,New York Knicks,Cleveland Cavaliers,89,95,A,1.46,2.78,2023
2023-11-02,Miami Heat,Brooklyn Nets,105,109,A,1.37,3.18,2023
2023-11-02,Boston Celtics,Indiana Pacers,155,104,H,1.13,6.24,2023
2023-11-02,Atlanta Hawks,Washington Wizards,130,121,H,1.22,4.53,2023
2023-11-02,Minnesota Timberwolves,Denver Nuggets,110,89,H,2.12,1.77,2023
2023-11-02,Houston Rockets,Charlotte Hornets,128,119,H,1.69,2.24,2023
2023-11-02,Dallas Mavericks,Chicago Bulls,114,105,H,1.61,2.39,2023
2023-11-02,Utah Jazz,Memphis Grizzlies,133,109,H,1.78,2.1,2023
2023-11-02,Los Angeles Lakers,Los Angeles Clippers,130,125,H,1.65,2.3,2023
2023-11-02,Golden State Warriors,Sacramento Kings,102,101,H,1.38,3.13,2023
2023-11-03,Philadelphia 76ers,Toronto Raptors,114,99,H,1.33,3.43,2023
2023-11-03,New Orleans Pelicans,Detroit Pistons,125,116,H,1.52,2.62,2023
2023-11-03,Utah Jazz,Orlando Magic,113,115,A,2.05,1.82,2023
2023-11-03,Phoenix Suns,San Antonio Spurs,121,132,A,1.2,4.78,2023
2023-11-04,Indiana Pacers,Cleveland Cavaliers,121,116,H,2.14,1.75,2023
2023-11-04,Milwaukee Bucks,New York Knicks,110,105,H,1.47,2.76,2023
2023-11-04,Oklahoma City Thunder,Golden State Warriors,139,141,A,3.0,1.41,2023
2023-11-04,Miami Heat,Washington Wizards,121,114,H,1.25,4.12,2023
2023-11-04,Chicago Bulls,Brooklyn Nets,107,109,A,1.59,2.44,2023
2023-11-04,Portland Trail Blazers,Memphis Grizzlies,115,113,H,2.4,1.61,2023
2023-11-04,Denver Nuggets,Dallas Mavericks,125,114,H,1.44,2.91,2023
2023-11-05,Philadelphia 76ers,Phoenix Suns,112,100,H,1.39,3.04,2023
2023-11-05,Orlando Magic,Los Angeles Lakers,120,101,H,2.37,1.62,2023
2023-11-05,New Orleans Pelicans,Atlanta Hawks,105,123,A,1.78,2.1,2023
2023-11-05,Indiana Pacers,Charlotte Hornets,124,125,A,1.52,2.62,2023
2023-11-05,Minnesota Timberwolves,Utah Jazz,123,95,H,1.32,3.5,2023
2023-11-05,Houston Rockets,Sacramento Kings,107,89,H,2.17,1.73,2023
2023-11-05,Brooklyn Nets,Boston Celtics,114,124,A,4.62,1.21,2023
2023-11-05,Denver Nuggets,Chicago Bulls,123,101,H,1.25,4.15,2023
2023-11-06,Detroit Pistons,Phoenix Suns,106,120,A,2.35,1.63,2023
2023-11-06,San Antonio Spurs,Toronto Raptors,116,123,A,2.43,1.6,2023
2023-11-06,Cleveland Cavaliers,Golden State Warriors,115,104,H,1.88,1.98,2023
2023-11-06,Dallas Mavericks,Charlotte Hornets,124,118,H,1.17,5.29,2023
2023-11-06,Portland Trail Blazers,Memphis Grizzlies,100,112,A,2.33,1.65,2023
2023-11-07,Philadelphia 76ers,Washington Wizards,146,128,H,1.18,5.15,2023
2023-11-07,Orlando Magic,Dallas Mavericks,102,117,A,1.93,1.93,2023
2023-11-07,Indiana Pacers,San Antonio Spurs,152,111,H,1.28,3.91,2023
2023-11-07,Detroit Pistons,Golden State Warriors,109,120,A,4.0,1.26,2023
