Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2018-09-29,Charlotte Hornets,Boston Celtics,104,97,H,2.87,1.43,2018
2018-09-30,Toronto Raptors,Portland Trail Blazers,122,104,H,1.42,3.01,2018
2018-09-30,Golden State Warriors,Minnesota Timberwolves,110,114,A,1.42,2.97,2018
2018-10-01,San Antonio Spurs,Miami Heat,104,100,H,1.51,2.65,2018
2018-10-01,Boston Celtics,Charlotte Hornets,115,112,H,1.43,2.95,2018
2018-10-01,Chicago Bulls,New Orleans Pelicans,128,116,H,2.33,1.65,2018
2018-10-01,Los Angeles Lakers,Denver Nuggets,107,124,A,1.48,2.68,2018
2018-10-02,Washington Wizards,New York Knicks,121,124,A,1.38,3.18,2018
2018-10-02,Philadelphia 76ers,Orlando Magic,120,114,H,1.42,2.99,2018
2018-10-02,Atlanta Hawks,New Orleans Pelicans,116,102,H,2.03,1.82,2018
2018-10-02,Phoenix Suns,Sacramento Kings,102,106,A,1.75,2.11,2018
2018-10-03,Charlotte Hornets,Miami Heat,122,113,H,1.76,2.11,2018
2018-10-03,Houston Rockets,Memphis Grizzlies,131,115,H,1.37,3.16,2018
2018-10-03,Boston Celtics,Cleveland Cavaliers,95,102,A,1.31,3.53,2018
2018-10-03,Utah Jazz,Toronto Raptors,105,90,H,1.69,2.22,2018
2018-10-03,Los Angeles Lakers,Denver Nuggets,111,113,A,1.84,1.99,2018
2018-10-04,Brooklyn Nets,New York Knicks,102,107,A,1.56,2.53,2018
2018-10-04,Oklahoma City Thunder,Detroit Pistons,91,97,A,1.74,2.16,2018
2018-10-04,Milwaukee Bucks,Chicago Bulls,116,82,H,1.47,2.78,2018
2018-10-04,Los Angeles Clippers,Minnesota Timberwolves,128,101,H,2.10,1.75,2018
2018-10-05,Houston Rockets,Indiana Pacers,100,110,A,1.42,2.93,2018
2018-10-05,Los Angeles Lakers,Sacramento Kings,128,123,H,1.42,2.92,2018
2018-10-05,Philadelphia 76ers,Dallas Mavericks,120,114,H,1.40,3.03,2018
2018-10-06,Washington Wizards,Miami Heat,121,114,H,1.58,2.43,2018
2018-10-06,New York Knicks,New Orleans Pelicans,106,100,H,2.24,1.67,2018
2018-10-06,Minnesota Timberwolves,Oklahoma City Thunder,101,113,A,1.63,2.32,2018
2018-10-06,Memphis Grizzlies,Atlanta Hawks,120,110,H,1.57,2.47,2018
2018-10-06,San Antonio Spurs,Detroit Pistons,117,93,H,1.48,2.69,2018
2018-10-06,Phoenix Suns,Portland Trail Blazers,93,115,A,2.57,1.52,2018
2018-10-06,Golden State Warriors,Sacramento Kings,122,94,H,1.35,3.28,2018
2018-10-07,Cleveland Cavaliers,Boston Celtics,113,102,H,3.43,1.32,2018
2018-10-07,Memphis Grizzlies,Indiana Pacers,109,104,H,2.01,1.81,2018
2018-10-07,Los Angeles Lakers,Los Angeles Clippers,87,103,A,1.64,2.30,2018
2018-10-08,Oklahoma City Thunder,Atlanta Hawks,113,94,H,1.41,3.02,2018
2018-10-08,San Antonio Spurs,Houston Rockets,93,108,A,1.84,2.02,2018
2018-10-08,Minnesota Timberwolves,Milwaukee Bucks,107,125,A,2.27,1.65,2018
2018-10-08,Portland Trail Blazers,Utah Jazz,112,123,A,2.30,1.63,2018
2018-10-08,Philadelphia 76ers,Dallas Mavericks,112,115,A,1.48,2.70,2018
2018-10-09,Detroit Pistons,Brooklyn Nets,108,110,A,1.42,2.96,2018
2018-10-09,Cleveland Cavaliers,Indiana Pacers,102,111,A,2.42,1.59,2018
2018-10-09,Charlotte Hornets,Chicago Bulls,110,104,H,1.47,2.77,2018
2018-10-09,New York Knicks,Washington Wizards,98,110,A,2.35,1.65,2018
2018-10-09,Miami Heat,Orlando Magic,90,89,H,1.53,2.61,2018
2018-10-09,Golden State Warriors,Phoenix Suns,109,117,A,1.25,4.10,2018
2018-10-10,Oklahoma City Thunder,Milwaukee Bucks,119,115,H,1.39,3.08,2018
2018-10-10,Los Angeles Clippers,Denver Nuggets,109,103,H,1.94,1.87,2018
2018-10-11,Toronto Raptors,Brooklyn Nets,118,91,H,1.30,3.73,2018
2018-10-11,Orlando Magic,Memphis Grizzlies,102,86,H,1.69,2.25,2018
2018-10-11,Detroit Pistons,Washington Wizards,97,102,A,1.84,2.02,2018
2018-10-11,Miami Heat,New Orleans Pelicans,140,128,H,1.61,2.41,2018
2018-10-11,Atlanta Hawks,San Antonio Spurs,130,127,H,2.30,1.67,2018
2018-10-11,Chicago Bulls,Indiana Pacers,104,89,H,2.70,1.50,2018
2018-10-11,Portland Trail Blazers,Phoenix Suns,116,83,H,1.59,2.41,2018
2018-10-11,Los Angeles Lakers,Golden State Warriors,123,113,H,2.42,1.57,2018
2018-10-12,New Orleans Pelicans,Toronto Raptors,119,134,A,1.28,3.80,2018
2018-10-12,Sacramento Kings,Utah Jazz,93,132,A,2.58,1.51,2018
2018-10-13,Orlando Magic,San Antonio Spurs,81,100,A,1.92,1.89,2018
2018-10-13,Dallas Mavericks,Charlotte Hornets,118,123,A,2.32,1.63,2018
2018-10-13,Cleveland Cavaliers,Detroit Pistons,110,129,A,2.28,1.64,2018
2018-10-13,New York Knicks,Brooklyn Nets,107,113,A,1.77,2.08,2018
2018-10-13,Miami Heat,Atlanta Hawks,119,113,H,1.50,2.64,2018
2018-10-13,Memphis Grizzlies,Houston Rockets,103,121,A,2.62,1.50,2018
2018-10-13,Chicago Bulls,Denver Nuggets,93,98,A,2.68,1.49,2018
2018-10-13,Milwaukee Bucks,Minnesota Timberwolves,143,121,H,1.39,3.03,2018
2018-10-13,Portland Trail Blazers,Sacramento Kings,118,115,H,1.30,3.56,2018
2018-10-13,Golden State Warriors,Los Angeles Lakers,105,119,A,1.21,4.57,2018
2018-10-17,Boston Celtics,Philadelphia 76ers,105,87,H,1.46,2.76,2018
2018-10-17,Golden State Warriors,Oklahoma City Thunder,108,100,H,1.09,8.53,2018
2018-10-18,Orlando Magic,Miami Heat,104,101,H,2.14,1.76,2018
2018-10-18,Indiana Pacers,Memphis Grizzlies,111,83,H,1.33,3.49,2018
2018-10-18,Detroit Pistons,Brooklyn Nets,103,100,H,1.40,3.10,2018
2018-10-18,Charlotte Hornets,Milwaukee Bucks,112,113,A,2.38,1.62,2018
2018-10-18,Toronto Raptors,Cleveland Cavaliers,116,104,H,1.08,8.98,2018
2018-10-18,New York Knicks,Atlanta Hawks,126,107,H,1.61,2.42,2018
2018-10-18,Houston Rockets,New Orleans Pelicans,112,131,A,1.28,3.85,2018
2018-10-18,San Antonio Spurs,Minnesota Timberwolves,112,108,H,1.70,2.23,2018
2018-10-18,Sacramento Kings,Utah Jazz,117,123,A,4.18,1.25,2018
2018-10-18,Phoenix Suns,Dallas Mavericks,121,100,H,2.20,1.72,2018
2018-10-18,Los Angeles Clippers,Denver Nuggets,98,107,A,2.12,1.77,2018
2018-10-19,Philadelphia 76ers,Chicago Bulls,127,108,H,1.10,8.04,2018
2018-10-19,Washington Wizards,Miami Heat,112,113,A,1.40,3.06,2018
2018-10-19,Portland Trail Blazers,Los Angeles Lakers,128,119,H,1.66,2.32,2018
2018-10-20,Orlando Magic,Charlotte Hornets,88,120,A,2.03,1.83,2018
2018-10-20,Brooklyn Nets,New York Knicks,107,105,H,1.59,2.46,2018
2018-10-20,Toronto Raptors,Boston Celtics,113,101,H,1.67,2.29,2018
2018-10-20,New Orleans Pelicans,Sacramento Kings,149,129,H,1.13,6.68,2018
2018-10-20,Minnesota Timberwolves,Cleveland Cavaliers,131,123,H,1.26,4.05,2018
2018-10-20,Memphis Grizzlies,Atlanta Hawks,131,117,H,1.35,3.38,2018
2018-10-20,Milwaukee Bucks,Indiana Pacers,118,101,H,1.58,2.49,2018
2018-10-20,Utah Jazz,Golden State Warriors,123,124,A,2.18,1.72,2018
2018-10-20,Los Angeles Clippers,Oklahoma City Thunder,108,92,H,1.67,2.28,2018
2018-10-21,Washington Wizards,Toronto Raptors,113,117,A,1.78,2.09,2018
2018-10-21,Indiana Pacers,Brooklyn Nets,132,112,H,1.25,4.10,2018
2018-10-21,Philadelphia 76ers,Orlando Magic,116,115,H,1.08,9.35,2018
2018-10-21,New York Knicks,Boston Celtics,101,103,A,4.77,1.21,2018
2018-10-21,Miami Heat,Charlotte Hornets,112,113,A,1.62,2.39,2018
2018-10-21,Chicago Bulls,Detroit Pistons,116,118,A,2.65,1.52,2018
2018-10-21,Dallas Mavericks,Minnesota Timberwolves,140,136,H,1.80,2.07,2018
2018-10-21,Denver Nuggets,Phoenix Suns,119,91,H,1.17,5.40,2018
2018-10-21,Portland Trail Blazers,San Antonio Spurs,121,108,H,1.52,2.64,2018
2018-10-21,Los Angeles Lakers,Houston Rockets,115,124,A,2.36,1.63,2018
2018-10-22,Cleveland Cavaliers,Atlanta Hawks,111,133,A,1.27,4.01,2018
2018-10-22,Oklahoma City Thunder,Sacramento Kings,120,131,A,1.14,6.26,2018
2018-10-22,Denver Nuggets,Golden State Warriors,100,98,H,2.69,1.50,2018
2018-10-22,Los Angeles Clippers,Houston Rockets,115,112,H,1.77,2.11,2018
2018-10-23,Toronto Raptors,Charlotte Hornets,127,106,H,1.24,4.37,2018
2018-10-23,Boston Celtics,Orlando Magic,90,93,A,1.12,7.23,2018
2018-10-23,Minnesota Timberwolves,Indiana Pacers,101,91,H,1.77,2.13,2018
2018-10-23,Milwaukee Bucks,New York Knicks,124,113,H,1.13,6.68,2018
2018-10-23,Dallas Mavericks,Chicago Bulls,115,109,H,1.49,2.72,2018
2018-10-23,Utah Jazz,Memphis Grizzlies,84,92,A,1.18,5.45,2018
2018-10-23,Portland Trail Blazers,Washington Wizards,124,125,A,1.51,2.67,2018
2018-10-23,Los Angeles Lakers,San Antonio Spurs,142,143,A,1.85,1.99,2018
2018-10-23,Golden State Warriors,Phoenix Suns,123,103,H,1.10,8.34,2018
