Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2020-12-12,Detroit Pistons,New York Knicks,84,90,A,1.81,2.02,2020
2020-12-12,Atlanta Hawks,Orlando Magic,112,116,A,1.37,3.13,2020
2020-12-12,Chicago Bulls,Houston Rockets,104,125,A,1.59,2.44,2020
2020-12-12,Los Angeles Lakers,Los Angeles Clippers,87,81,H,3.04,1.4,2020
2020-12-12,Portland Trail Blazers,Sacramento Kings,127,102,H,1.47,2.77,2020
2020-12-13,San Antonio Spurs,Oklahoma City Thunder,108,121,A,1.41,2.9,2020
2020-12-13,Cleveland Cavaliers,Indiana Pacers,107,104,H,2.68,1.47,2020
2020-12-13,Charlotte Hornets,Toronto Raptors,100,111,A,2.66,1.48,2020
2020-12-13,Minnesota Timberwolves,Memphis Grizzlies,105,107,A,1.76,2.06,2020
2020-12-13,Milwaukee Bucks,Dallas Mavericks,102,112,A,1.53,2.53,2020
2020-12-13,Golden State Warriors,Denver Nuggets,107,105,H,2.29,1.63,2020
2020-12-13,Utah Jazz,Phoenix Suns,119,105,H,1.88,1.9,2020
2020-12-14,Atlanta Hawks,Orlando Magic,116,107,H,1.51,2.63,2020
2020-12-14,Brooklyn Nets,Washington Wizards,119,114,H,1.32,3.46,2020
2020-12-14,Detroit Pistons,New York Knicks,99,91,H,1.75,2.1,2020
2020-12-14,Chicago Bulls,Houston Rockets,104,91,H,2.21,1.69,2020
2020-12-14,Los Angeles Lakers,Los Angeles Clippers,131,106,H,2.65,1.5,2020
2020-12-14,Portland Trail Blazers,Sacramento Kings,106,121,A,1.45,2.79,2020
2020-12-15,Cleveland Cavaliers,Indiana Pacers,116,106,H,2.86,1.43,2020
2020-12-15,Miami Heat,New Orleans Pelicans,92,114,A,1.65,2.25,2020
2020-12-15,Charlotte Hornets,Toronto Raptors,109,112,A,2.49,1.55,2020
2020-12-15,Minnesota Timberwolves,Memphis Grizzlies,104,123,A,1.85,1.94,2020
2020-12-15,Milwaukee Bucks,Dallas Mavericks,112,128,A,1.55,2.5,2020
2020-12-15,Utah Jazz,Phoenix Suns,111,92,H,2.01,1.8,2020
2020-12-16,Philadelphia 76ers,Boston Celtics,108,99,H,1.54,2.55,2020
2020-12-16,Houston Rockets,San Antonio Spurs,112,98,H,1.6,2.38,2020
